sample,time_s,zone_index,zone_tolerance_mm,reference_x_mm,reference_y_mm,initial_x_mm,initial_y_mm,no_alignment_x_mm,no_alignment_y_mm,v11_x_mm,v11_y_mm,initial_contour_error_mm,no_alignment_contour_error_mm,v11_contour_error_mm
109,4.0874999999999995,-1,nan,15.597978515625002,-7.03318182393719,11.192708209565918,-8.704759038655174,12.250645633136802,-11.762772641494735,9.38180111111026,-10.889585347501638,-2.145227067180411,-5.068570286540611,-4.515702441895643
110,4.125,-1,nan,16.083984375,-7.107921762401611,11.716100609694797,-8.50319687678589,13.239818937028108,-11.341698223145992,10.142326675467707,-10.34688513954162,-2.210001662997548,-4.702096230311224,-4.3221602759754765
111,4.1625,-1,nan,16.564716796875004,-7.221276634622939,12.236719989816784,-8.281126935639241,14.200486235352336,-10.88771109274542,10.895326841286886,-9.780077162424819,-2.166020366447202,-4.160913385816845,-3.966191585906225
112,4.2,-1,nan,17.04,-7.367980281069306,12.754382249298473,-8.051336491882081,15.124468413905284,-10.418324692476048,11.637393798520655,-9.209836574153956,-2.031686763856711,-3.505711493246416,-3.4890027631794966
113,4.2375,-1,nan,17.509658203125,-7.541761566378325,13.268884839221974,-7.8257335437576945,16.00355173241887,-9.95010709257103,12.365085426754838,-8.655921623762225,-1.8267087746597186,-2.7938644694953436,-2.9315241153566705
114,4.2749999999999995,-1,nan,17.973515625000005,-7.735610658326821,13.779998984831936,-7.614984645717562,16.82951771576269,-9.498384006133529,13.074937963522096,-8.136869830765646,-1.5687164108279439,-2.0733719880886192,-2.3292660973915025
115,4.3125,-1,nan,18.431396484375,-7.942047996294468,14.287468781933995,-7.4282497832287095,17.595800030369663,-9.076938463802117,13.764004727586842,-7.669727591350834,-1.2718434073364633,-1.380726272986187,-1.7106270138956439
116,4.35,-1,nan,18.883125,-8.153386633613401,14.791013546524761,-7.272986033643277,18.29962692463688,-8.697825859126613,14.4305519275335,-7.269857937836789,-0.946716372690376,-0.7411366462251342,-1.097442616973113
117,4.3875,-1,nan,19.328525390625003,-8.361979746606037,15.290331368910838,-7.154811077468926,18.941107084303052,-8.371358892159408,15.073765624473529,-6.950819343580099,-0.6011956430298224,-0.1712848900579318,-0.5070724397235211
118,4.425,-1,nan,19.767421874999997,-8.56044642267166,15.785103011919478,-7.077426855325301,19.52215546453006,-8.105150277036014,15.693460120956683,-6.722406265817493,-0.2414441854258711,0.31843770755423734,0.0468683620991408
119,4.4624999999999995,-1,nan,20.199638671874986,-8.741870293165555,16.27499529565374,-7.042623973827325,20.04575592244486,-7.903013671742026,16.28984018724262,-6.588323622210933,0.1268386066883589,0.7224199378379076,0.5544015999887311
120,4.5,-1,nan,20.625,-8.899967089073836,16.759662909131652,-7.050421359319593,20.51545504006375,-7.765568345155637,16.863222566344987,-6.547318199281261,0.4970161282351433,1.037670162871717,1.0065277953728273
121,4.5375,-1,nan,21.04333007812501,-9.02921869938318,17.23875074203541,-7.0993469587019575,20.935117837268578,-7.690827444329825,17.413975307628398,-6.594209635578637,0.8600034973947053,1.2626697645188452,1.3934533913168061
122,4.575,-1,nan,21.454453125000008,-9.12497274270138,17.7119036039105,-7.186664085783024,21.308800530404167,-7.67466817330038,17.94246071828973,-6.722003779648899,1.203096101298729,1.3973646030361604,1.7027141437079845
123,4.6125,-1,nan,21.858193359374987,-9.183507971498857,18.17877975188244,-7.308393095028088,21.64067059821728,-7.711493488555774,18.449057568864994,-6.923415948229283,1.509913130037084,1.4440241213131737,1.9192590479382516
124,4.6499999999999995,-1,nan,22.25437499999999,-9.202066976134999,18.639054121975466,-7.459335400726895,21.934964217883135,-7.794989301878837,18.934275155787496,-7.189164555424586,1.7621110258179558,1.408771783669824,2.030693436330049
125,4.6875,-1,nan,22.642822265625,-9.178858615283772,19.09241428711119,-7.633279279220469,22.195989402017787,-7.918208006559144,19.39866516898147,-7.508044464988027,1.9430748491592111,1.3036237367007528,2.032311999641332
126,4.725,-1,nan,23.023359375,-9.113033354790474,19.53856036818458,-7.823317785956027,22.428119683655467,-8.073341826910392,19.84277659499145,-7.867877084159362,2.0426289734669667,1.1471734364228898,1.9305880077661506
127,4.7625,-1,nan,23.39581054687499,-9.004635243544083,19.977209779994784,-8.022168864626387,22.635763417481257,-8.251897471325583,20.2671742259096,-8.256090092480528,2.060411116879414,0.9621673978154002,1.7435780211289504
128,4.8,-1,nan,23.75999999999999,-8.854534597449426,20.408102630584573,-8.22245575262809,22.82334620326533,-8.44509379097256,20.67245338091522,-8.66004130870266,2.005790809115708,0.7709120866242378,1.4971696781714012
129,4.8374999999999995,-1,nan,24.115751953125,-8.664345613961345,20.8310054915866,-8.416946638219752,22.995309130007463,-8.644219406861689,21.05924363679268,-9.067249834606729,1.8944740322273603,0.5910155170876513,1.2190238446202404
130,4.875,-1,nan,24.462890625,-8.436333119233703,21.245713381377126,-8.598760262286739,23.1561117520038,-8.840897374624475,21.428208208949396,-9.465589323996353,1.7439856874865218,0.4333172430068442,0.9333614144737232
131,4.9125,-1,nan,24.801240234374987,-8.173312481696328,21.652050422866957,-8.761541597119516,23.31023586574005,-9.027280305269814,21.780042433304782,-9.843454374646058,1.5701970944311363,0.3021294877523454,0.6583937887966342
132,4.95,-1,nan,25.13062500000001,-7.8785464366232825,22.049869539516912,-8.899609293245595,23.46213849144912,-9.196200850478457,22.115474857342118,-10.189899723417648,1.3856712056215181,0.19680720372285376,0.4061934764077879
133,4.9875,-1,nan,25.450869140624988,-7.555642184057447,22.439051382863905,-9.008075480250238,23.615345161520107,-9.34131504985878,22.435313265040495,-10.494749514267404,1.199448132218925,0.11417562524367675,0.18384362462772286
134,5.0249999999999995,-1,nan,25.76179687500001,-7.208451675149004,22.81950266826517,-9.082935961910659,23.771913973151047,-9.457164505240385,22.740471190483177,-10.74868153282654,1.017568681258162,0.05054684285401856,-0.005094012011159332
135,5.0625,-1,nan,26.063232421875,-6.840977515970934,23.191154303009313,-9.121119092160738,23.932889242197838,-9.539206409368049,23.031938563211824,-10.943371304418871,0.8438109997229681,0.0024808188997271774,-0.15932467128919203
136,5.1,-1,nan,26.354999999999983,-6.457286417211113,23.553959884535228,-9.120463698192799,24.098698060234145,-9.584006805369151,23.31071072701929,-11.07297134784329,0.6803868286362711,-0.03306226481711283,-0.2796692081199601
137,5.1375,-1,nan,26.636923828125,-6.061431623760157,23.907894007513136,-9.079607200901675,24.269410200565293,-9.589290285070346,23.577805795543384,-11.134923510203246,0.5285158231344602,-0.05869357342355852,-0.3687359245646289
138,5.175,-1,nan,26.908828125000007,-5.657385287531457,24.252946862304903,-8.997865432740188,24.444897487979397,-9.553719741344965,23.83431389122358,-11.129205370474274,0.38883246100939384,-0.07652201483866694,-0.42999252052005144
139,5.2124999999999995,-1,nan,27.170537109374997,-5.248981313569014,24.589113906111415,-8.875247808205167,24.624917804677796,-9.476673899405116,24.081386815677668,-11.05728350655881,0.2615906571292006,-0.08813751160211059,-0.46697355774658567
140,5.25,-1,nan,27.421875,-4.839868823603388,24.916388550773547,-8.71256712781207,24.80915577938998,-9.358189284381648,24.320216444188976,-10.92099377401738,0.1467354017618976,-0.09469949676120226,-0.48267442304960895
141,5.2875,-1,nan,27.662666015625014,-4.4334760491498875,25.234762465554457,-8.511462056658024,24.99724467741377,-9.199043225446585,24.551966804029234,-10.722843183200316,0.04396279979866469,-0.09709050736589342,-0.47975787047806273
142,5.325,-1,nan,27.892734375000003,-4.0329841912183815,25.54422663072957,-8.274287055998235,25.188784537770932,-9.000773149787124,24.77776286689805,-10.466609395763362,-0.047195431221839446,-0.0960253879922437,-0.46093044669512473
143,5.3625,-1,nan,28.111904296874997,-3.641310566112893,25.844767963380765,-8.003950997448243,25.383354734977818,-8.765560807877797,24.998726938202797,-10.15708890958617,-0.12729270588592945,-0.0920847391414541,-0.4289155167069758
144,5.3999999999999995,5,0.18,28.320000000000014,-3.2611001946600244,26.136363270948756,-7.703769253897457,25.580517666243654,-8.496061522994072,25.215982564122527,-9.799663916165267,-0.1969152652668471,-0.08571472362415955,-0.38633290775266493
145,5.4375,5,0.18,28.516845703125,-2.894724881660645,26.41897353214701,-7.377344046186321,25.779816824601003,-8.195249908541896,25.430640928263117,-9.400037097593552,-0.2566554775001737,-0.07722881410775706,-0.33565684992354416
146,5.475,5,0.18,28.702265625000003,-2.544288768155404,26.692539614707112,-7.028466326294918,25.98077358255485,-7.866299230358699,25.643791067488124,-8.964090732440612,-0.30710101443669524,-0.06681961243839174,-0.2792323557874865
147,5.5125,5,0.18,28.876083984375008,-2.211639315034346,26.95697928209191,-6.661031414136778,26.182884605785123,-7.512486800849077,25.856495818633782,-8.497797037222133,-0.3488317130732481,-0.054576462522121894,-0.21931031077486107
148,5.55,5,0.18,29.038124999999994,-1.898382685874309,27.21218511990179,-6.278964390132636,26.385620142270465,-7.1371161117615545,26.06979048119234,-8.00714717346933,-0.38241939877104336,-0.040503916215147484,-0.15808214712472823
149,5.5874999999999995,5,0.18,29.18821289062499,-1.6059025327671257,27.45802316562075,-5.886154046167853,26.58842300061585,-6.743450536004954,26.284682392050215,-7.49808926246976,-0.4084284130048015,-0.024538458503999383,-0.09770838594722919
150,5.625,5,0.18,29.326171875,-1.3353812445375528,27.69433217483353,-5.4863954367671335,26.790720761879747,-6.334656172371165,26.502091040546187,-6.9764758474856485,-0.4274158865413089,-0.006573792889895458,-0.04028803745576548
151,5.6625,5,0.18,29.451826171875005,-1.087822785750034,27.92092352630872,-5.08334136397472,26.9920231628352,-5.913751438565406,26.72238879009936,-6.4480301437171095,-0.4399313846005706,0.013441864581605678,0.012529918193634693
152,5.7,5,0.18,29.564999999999998,-0.8640763314214567,28.137581781176877,-4.680462999419218,27.191940783577678,-5.483572262860771,26.945315871242965,-5.918289517353457,-0.4465157918191476,0.035478196653671024,0.0596218992768196
153,5.7375,5,0.18,29.66551757812502,-0.6648599812185111,28.3440658983939,-4.281019581403662,27.390140401244594,-5.04682477571975,27.170186234657116,-5.392523070321306,-0.44769940229671934,0.05941910695975272,0.10022460719805615
154,5.7749999999999995,5,0.18,29.753203125,-0.49078391370394175,28.540111087446686,-3.8880368522732884,27.58629541061012,-4.606673706758208,27.39605879344486,-4.87538833470564,-0.4439992250989957,0.08482922114596869,0.13392521836870253
155,5.8125,-1,nan,29.827880859375,-0.3423724122760238,28.725431257392415,-3.504293671020185,27.780091450545324,-4.166788452773917,27.621827008207568,-4.370890543973305,-0.43591554458406623,0.11092151706145237,0.16059577034097816
156,5.85,-1,nan,29.889374999999994,-0.22008425700887674,28.89972200125616,-3.1323160617514536,27.971229480554893,-3.7310508745407085,27.846274441622707,-3.8825326130786992,-0.42392779942089376,0.13668343364905722,0.1802803311175325
157,5.8875,-1,nan,29.93750976562501,-0.1243310286249465,29.06266403692001,-2.7743778392319367,28.159413816810037,-3.303364970433045,28.068117135189784,-3.413419107382904,-0.40848986562644696,0.16097545642032296,0.1931214178873546
158,5.925,-1,nan,29.972109374999995,-0.05549291110663554,29.213927009678926,-2.432506881563082,28.344345144464363,-2.887549236917053,28.286031021304858,-2.966323838745855,-0.3900248449984417,0.18259365254122284,0.19932132056059704
159,5.9624999999999995,-1,nan,29.992998046875,-0.0139316075365175,29.35317354736065,-2.1084960886622546,28.52571906025817,-2.487280904954767,28.498669312732886,-2.5437365843852118,-0.3689194674969598,0.20030923067517237,0.19912569801695246
160,6.0,-1,nan,30.0,-4.653657836759942e-15,29.48006344633997,-1.8039180646535637,28.70322789025388,-2.1060717405597846,28.70467408848557,-2.147898551837014,-0.3455182111037226,0.2128954746093401,0.19282024958157717
