manifest_id,trajectory,regime,domain_seed,method,initial_task_score,final_task_score,last_observed_task_score,task_auc_normalized,final_task_ratio,initial_violation_rate,final_violation_rate,initial_task_max_ratio,final_task_max_ratio,initial_global_rmse,final_global_rmse,final_global_ratio,selection_switches,selection_history,accepted_history,rejected_trials,final_trust_radius_mm,constraint_violation,all_updates_succeeded,elapsed_s
harmonic_loop--neutral,harmonic_loop,neutral,1031,full_trajectory,10.929515930389762,3.4865581372689105,3.4865581372689105,0.49871529678822224,0.3190038936284871,0.6666666666666666,0.6666666666666666,14.982049021235444,4.232558767573039,1.5295520423053581,0.656403120696314,0.42914729446340105,0,"[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[true, true, true, true, true]",0,0.0,0,1,0.30914408399999993
harmonic_loop--neutral,harmonic_loop,neutral,1031,error_peak_dynamic,10.929515930389762,2.43932164033056,2.43932164033056,0.44108959293559225,0.2231866128259141,0.6666666666666666,0.8333333333333334,14.982049021235444,2.82028573366696,1.5295520423053581,0.7219160159537122,0.471978720557708,1,"[[2, 3], [2, 3], [3, 4], [3, 4]]","[true, true, true, true, true]",0,0.0,0,1,0.32956162499999997
harmonic_loop--neutral,harmonic_loop,neutral,1031,violation_dynamic,10.929515930389762,2.441237651033315,2.441237651033315,0.4310787260931402,0.22336191891585971,0.6666666666666666,0.8333333333333334,14.982049021235444,2.8007156934293627,1.5295520423053581,0.7258559427340437,0.4745545902707733,1,"[[2, 3], [3, 4], [3, 4], [3, 4]]","[true, true, true, true, true]",0,0.0,0,1,0.28017179199999975
harmonic_loop--neutral,harmonic_loop,neutral,1031,violation_safe,10.929515930389762,2.441237651033315,2.441237651033315,0.4310787260931402,0.22336191891585971,0.6666666666666666,0.8333333333333334,14.982049021235444,2.8007156934293627,1.5295520423053581,0.7258559427340437,0.4745545902707733,1,"[[2, 3], [3, 4], [3, 4], [3, 4]]","[true, true, true, true, true]",0,4.0,0,1,0.32804175000000013
harmonic_loop--neutral,harmonic_loop,neutral,1031,dual_anchor_dynamic,10.929515930389762,2.43932164033056,2.43932164033056,0.44108959293559225,0.2231866128259141,0.6666666666666666,0.8333333333333334,14.982049021235444,2.82028573366696,1.5295520423053581,0.7219160159537122,0.471978720557708,1,"[[2, 3], [2, 3], [3, 4], [3, 4]]","[true, true, true, true, true]",0,4.0,0,1,0.2798258750000002
harmonic_loop--neutral,harmonic_loop,neutral,1049,full_trajectory,5.8726075721968645,1.088419316794179,1.088419316794179,0.4179831232008821,0.185338336235366,0.8333333333333334,0.3333333333333333,7.569609591935747,1.3052067982180646,0.9390003933843484,0.19937623671610313,0.2123281716608346,0,"[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[true, true, true, true, true]",0,0.0,0,1,0.225794708
harmonic_loop--neutral,harmonic_loop,neutral,1049,error_peak_dynamic,5.8726075721968645,0.8120228086227346,0.8120228086227346,0.38580135368388757,0.1382729560318582,0.8333333333333334,0.0,7.569609591935747,0.9252716889876744,0.9390003933843484,0.2287531217896602,0.24361344617246372,2,"[[2, 3], [2, 3], [1, 4], [3, 4]]","[true, true, true, true, true]",0,0.0,0,1,0.22489091699999975
harmonic_loop--neutral,harmonic_loop,neutral,1049,violation_dynamic,5.8726075721968645,0.9980051088176817,0.9980051088176817,0.3795626554743194,0.16994241425948733,0.8333333333333334,0.3333333333333333,7.569609591935747,1.2018685926699035,0.9390003933843484,0.23320353858756634,0.24835297219317806,3,"[[2, 3], [3, 4], [2, 4], [1, 3]]","[true, true, true, true, true]",0,0.0,0,1,0.21863220800000027
harmonic_loop--neutral,harmonic_loop,neutral,1049,violation_safe,5.8726075721968645,0.9980051088176817,0.9980051088176817,0.3795626554743194,0.16994241425948733,0.8333333333333334,0.3333333333333333,7.569609591935747,1.2018685926699035,0.9390003933843484,0.23320353858756634,0.24835297219317806,3,"[[2, 3], [3, 4], [2, 4], [1, 3]]","[true, true, true, true, true]",0,4.0,0,1,0.217519625
harmonic_loop--neutral,harmonic_loop,neutral,1049,dual_anchor_dynamic,5.8726075721968645,0.8120228086227346,0.8120228086227346,0.38580135368388757,0.1382729560318582,0.8333333333333334,0.0,7.569609591935747,0.9252716889876744,0.9390003933843484,0.2287531217896602,0.24361344617246372,2,"[[2, 3], [2, 3], [1, 4], [3, 4]]","[true, true, true, true, true]",0,4.0,0,1,0.22406204099999982
harmonic_loop--neutral,harmonic_loop,neutral,1061,full_trajectory,5.9581277736491876,1.1068957303787075,1.1068957303787075,0.4247546743692646,0.18577911928544705,0.6666666666666666,0.3333333333333333,8.284633827896135,1.3812130813103813,0.8992900212523998,0.22174761740444718,0.2465807605600132,0,"[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[true, true, true, true, true]",0,0.0,0,1,0.2545653750000003
harmonic_loop--neutral,harmonic_loop,neutral,1061,error_peak_dynamic,5.9581277736491876,1.027779050016015,1.027779050016015,0.36206554087746673,0.17250033719678506,0.6666666666666666,0.16666666666666666,8.284633827896135,1.3066639363233676,0.8992900212523998,0.2568645380143661,0.28563036611553044,3,"[[1, 3], [3, 4], [1, 3], [1, 4]]","[true, true, true, true, true]",0,0.0,0,1,0.220306667
harmonic_loop--neutral,harmonic_loop,neutral,1061,violation_dynamic,5.9581277736491876,0.8482963493359597,0.8482963493359597,0.3583000396265149,0.14237632718917032,0.6666666666666666,0.16666666666666666,8.284633827896135,1.0009173615373528,0.8992900212523998,0.27423773355891723,0.304949156643592,3,"[[1, 3], [3, 4], [1, 3], [3, 4]]","[true, true, true, true, true]",0,0.0,0,1,0.21948262500000038
