paired_n,domain_n,median_effect_percent,mean_effect_percent,paired_ci_low,paired_ci_high,domain_ci_low,domain_ci_high,hierarchical_ci_low,hierarchical_ci_high,pair_win_rate,leave_one_domain_min,leave_one_domain_max,dataset,scenario_id,scope,proposed,comparator
40,8,3.46165822160964,4.103387141624828,2.579590288617558,5.030287535492876,1.430115480612251,5.059573675459999,0.9961480091998054,5.324946421364122,0.9,3.1305287341483945,4.400918363743049,matched_ablation,n0_d0_m0,demand_conflict,v11_full,no_residual_alignment
40,8,-0.2579919684088625,-0.43912386542642834,-2.0450446435099847,0.4236752015179157,-1.5553858492636157,0.20602177605638095,-2.593079697893285,0.508436897397392,0.4,-0.9303602051194332,0.0,matched_ablation,n0_d0_m0,demand_conflict,v11_full,task_top2
40,8,0.0,1.0228165600904628,0.0,0.0,0.0,0.0,0.0,0.0,0.325,0.0,0.0,matched_ablation,n0_d0_m0,demand_conflict,v11_full,raw_top2
40,8,3.0323852317020816,3.544466124363234,-2.4328722948308603,5.857114475714015,1.9343050417183554,5.449714154464008,-2.6038182150987392,6.107092834635622,0.6,2.718297044228543,4.2488172945291485,matched_ablation,n0_d0_m0,demand_conflict,v11_full,uniform_full_trajectory
40,8,5.952135546326026,5.159584852574605,4.169855833797747,6.724613698581383,4.865926429652198,6.445516961634922,3.9394845669868452,6.733543418383072,0.825,5.8314367526836275,6.014588127735486,matched_ablation,n0_d1_m0,demand_conflict,v11_full,no_residual_alignment
40,8,-0.20284760129526294,-1.554246401984022,-1.8147568018413338,0.0,-0.9835706341780408,0.0,-1.9127816411351337,0.0,0.15,-0.5097045515969022,0.0,matched_ablation,n0_d1_m0,demand_conflict,v11_full,task_top2
40,8,0.0,1.263153918037268,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.0,0.0,matched_ablation,n0_d1_m0,demand_conflict,v11_full,raw_top2
40,8,1.82261471797821,3.918473520928967,0.6988255732830273,5.830035807662915,1.3785796754691457,3.3807039082258594,0.20005586939494815,6.6411198626160965,0.725,1.6563985334918911,1.9888309024645285,matched_ablation,n0_d1_m0,demand_conflict,v11_full,uniform_full_trajectory
40,8,5.597492067133558,5.6346705720878925,4.635876710497349,7.403265619579109,5.320832017712065,6.74453183999533,4.524453575586466,8.016357315149046,0.85,5.44063324868855,6.072732746857049,matched_ablation,n1_d1_m1,demand_conflict,v11_full,no_residual_alignment
40,8,-0.18337595689560338,-1.6675883614785207,-1.7765767830544854,0.0,-0.869088262423124,0.0,-2.125723578850685,0.0,0.15,-0.3977823858587025,-0.12009188669262998,matched_ablation,n1_d1_m1,demand_conflict,v11_full,task_top2
40,8,0.0,1.5358366405681576,0.0,0.0,0.0,0.0,0.0,0.045231567854181566,0.3,0.0,0.0,matched_ablation,n1_d1_m1,demand_conflict,v11_full,raw_top2
40,8,2.8656820216223338,4.889508533718065,0.8419831521625432,6.522470392076489,1.7464484549375074,5.425812930883788,0.8229888360482636,6.692403883296397,0.725,2.800326699907385,3.312103554097269,matched_ablation,n1_d1_m1,demand_conflict,v11_full,uniform_full_trajectory
120,24,3.5586562633186043,3.8888889608145254,2.771076534110375,4.3913580819111155,2.834344637778909,4.732127266919017,2.5461287980030574,4.9062748801030285,0.8333333333333334,3.479340088500376,3.8992980175250667,held_out_lhs_plant_family,n0_d0_m0,demand_conflict,v11_full,no_residual_alignment
120,24,0.0,1.0494377028020538,0.0,0.2862106448781938,0.0,0.03395312946459676,0.0,0.40931843835717935,0.43333333333333335,0.0,0.0,held_out_lhs_plant_family,n0_d0_m0,demand_conflict,v11_full,raw_top2
120,24,2.969529427859058,3.535367872339819,0.2785001110460314,5.221099953004499,1.0953612816685045,5.076216835064837,-0.21692841648657307,5.4494438628500115,0.6,2.682162129067031,3.336725192612754,held_out_lhs_plant_family,n0_d0_m0,demand_conflict,v11_full,uniform_full_trajectory
120,24,6.036547326161797,5.82158707734841,5.18368489340657,6.697204676436065,5.243017551714505,6.696353522323621,4.8888337045925745,6.823474556202347,0.8583333333333333,5.792976001507038,6.059442169824001,held_out_lhs_plant_family,n0_d1_m0,demand_conflict,v11_full,no_residual_alignment
120,24,0.0,1.7253733577871675,0.0,0.0,0.0,0.0,0.0,0.0,0.36666666666666664,0.0,0.0,held_out_lhs_plant_family,n0_d1_m0,demand_conflict,v11_full,raw_top2
120,24,2.725396731158724,5.452781852311832,1.913703654420469,4.307481538508014,2.201946973987762,3.7366590993036786,1.774783775219304,4.907783795749415,0.725,2.5850176391543505,2.967818747973801,held_out_lhs_plant_family,n0_d1_m0,demand_conflict,v11_full,uniform_full_trajectory
120,24,5.97489188568969,6.043641938523259,5.045412419568625,6.888596781949799,5.027177872701468,6.816271765215168,4.707895289014229,7.015470353574743,0.925,5.941049061585906,6.060437639899948,held_out_lhs_plant_family,n1_d1_m1,demand_conflict,v11_full,no_residual_alignment
120,24,0.0,1.3382961908515478,0.0,0.0,0.0,0.0,0.0,0.0,0.3416666666666667,0.0,0.0,held_out_lhs_plant_family,n1_d1_m1,demand_conflict,v11_full,raw_top2
120,24,2.838622416103919,5.450201979061385,1.888828923367084,3.9942838380065773,2.2212774622242835,3.5516118927572737,1.7573991837733252,4.30900071321541,0.7583333333333333,2.702997792284576,2.9373391455618623,held_out_lhs_plant_family,n1_d1_m1,demand_conflict,v11_full,uniform_full_trajectory
