manifest_id,trajectory,regime,scenario_id,scenario_mode,domain_seed,schedule_slot,method,initial_task_score,final_task_score,last_observed_task_score,task_auc_normalized,final_task_ratio,initial_violation_rate,final_violation_rate,initial_global_rmse,final_global_rmse,final_global_ratio,measured_score_auc_normalized,selection_switches,selection_history,accepted_history,rejected_trials,final_trust_radius_mm,constraint_violation,all_updates_succeeded,finite_result,actual_axis_delay_history,raw_estimated_lag_history,total_estimated_lag_history,nominal_estimated_lag_history,applied_lag_history,confidence_history,gain_history,lag_absolute_error_steps,median_peak_correlation,elapsed_s
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,balanced_static,static,1901,0,dual_anchor_dynamic,1.467506360911999,0.295732485784161,0.295732485784161,0.4264550920175958,0.20152041153700662,0.5,0.0,0.39857238405926587,0.08767563194795044,0.21997417647207962,0.4264550920175958,3,"[[2, 3], [3, 4], [2, 4], [1, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[1, 2], [1, 2], [1, 2], [1, 2], [1, 2]]","[[3, 4], [3, 4], [3, 4], [3, 4], [3, 4]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[[NaN, NaN], [NaN, NaN], [NaN, NaN], [NaN, NaN], [NaN, NaN]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]",0.5,0.9992057069913692,0.23386895800000018
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,balanced_static,static,1901,0,fixed_delay_2,1.467506360911999,0.3327039938900081,0.3327039938900081,0.43838343788499495,0.226713834264572,0.5,0.0,0.39857238405926587,0.09057761775892323,0.2272551270021125,0.43838343788499495,3,"[[2, 3], [3, 4], [1, 2], [2, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[1, 2], [1, 2], [1, 2], [1, 2], [1, 2]]","[[3, 4], [3, 4], [3, 4], [3, 4], [3, 4]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[2.0, 2.0], [2.0, 2.0], [2.0, 2.0], [2.0, 2.0], [2.0, 2.0]]","[[NaN, NaN], [NaN, NaN], [NaN, NaN], [NaN, NaN], [NaN, NaN]]","[[1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0]]",0.5,0.9992133795191004,0.23822745800000034
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,balanced_static,static,1901,0,delay_aware_dual_anchor,1.467506360911999,0.24480885482335127,0.24480885482335127,0.42983458700632227,0.1668196209188572,0.5,0.0,0.39857238405926587,0.09046476837614492,0.22697199302873233,0.42983458700632227,3,"[[2, 3], [3, 4], [1, 2], [3, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[1, 2], [1, 2], [1, 2], [1, 2], [1, 2]]","[[3, 4], [3, 4], [3, 4], [3, 4], [3, 4]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.25, 0.5], [0.25, 0.5], [0.25, 0.5], [0.25, 0.5], [0.25, 0.5]]","[[NaN, NaN], [NaN, NaN], [NaN, NaN], [NaN, NaN], [NaN, NaN]]","[[0.25, 0.25], [0.25, 0.25], [0.25, 0.25], [0.25, 0.25], [0.25, 0.25]]",0.5,0.9992070483811362,0.23556837500000016
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,balanced_static,static,1901,0,adaptive_rolling_delay,1.467506360911999,0.2844941690995972,0.2844941690995972,0.4222327101030076,0.19386230729711793,0.5,0.0,0.39857238405926587,0.08702547015370209,0.21834295007443819,0.4222327101030076,3,"[[2, 3], [3, 4], [2, 4], [1, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[1, 2], [1, 2], [1, 2], [1, 2], [1, 2]]","[[3, 4], [3, 4], [3, 4], [3, 4], [3, 4]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.17497310609540334, 0.36841370820237584], [0.17497226083904524, 0.36961595827660376], [0.17497189375476638, 0.3705484852417401], [0.17497153374042249, 0.3709597105252247], [0.17497129653958698, 0.37146903492961103]]","[[0.9989242438161345, 0.6841370820237586], [0.9988904335618105, 0.6961595827660372], [0.9988757501906554, 0.7054848524174012], [0.9988613496168998, 0.7095971052522465], [0.9988518615834797, 0.7146903492961099]]","[[0.17497310609540334, 0.18420685410118792], [0.17497226083904524, 0.18480797913830188], [0.17497189375476638, 0.18527424262087006], [0.17497153374042249, 0.18547985526261235], [0.17497129653958698, 0.18573451746480552]]",0.5,0.9992066744141481,0.227593916
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,balanced_static,static,1901,0,oracle_adaptive_delay,1.467506360911999,0.28543200072062197,0.28543200072062197,0.42209406148267725,0.19450137207121673,0.5,0.0,0.39857238405926587,0.08708687320567736,0.2184970075416162,0.42209406148267725,3,"[[2, 3], [3, 4], [2, 4], [1, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[1, 2], [1, 2], [1, 2], [1, 2], [1, 2]]","[[3, 4], [3, 4], [3, 4], [3, 4], [3, 4]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.4, 0.4], [0.4, 0.4], [0.4, 0.4], [0.4, 0.4], [0.4, 0.4]]","[[1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0]]","[[0.2, 0.2], [0.2, 0.2], [0.2, 0.2], [0.2, 0.2], [0.2, 0.2]]",0.5,0.9992070463155536,0.2301653749999999
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,balanced_static,static,1931,1,dual_anchor_dynamic,13.109967062074265,9.947327278222627,10.360609034272334,0.8103583773576516,0.758760661344389,1.0,0.6666666666666666,3.287784679418107,2.4832792028486006,0.7553046944935905,0.8103583773576516,1,"[[2, 3], [1, 3], [1, 3], [1, 3]]","[true, true, true, false, false]",2,1.0,0,1,1,"[[2, 10], [2, 10], [2, 10], [2, 10], [2, 10]]","[[1, 10], [1, 10], [1, 10], [1, 10], [1, 10]]","[[3, 12], [3, 12], [3, 12], [3, 12], [3, 12]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[[NaN, NaN], [NaN, NaN], [NaN, NaN], [NaN, NaN], [NaN, NaN]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]",0.5,0.9589879706887832,0.38650974999999965
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,balanced_static,static,1931,1,fixed_delay_2,13.109967062074265,9.45176755104313,9.819615444870086,0.7783944182805362,0.7209604346288622,1.0,0.6666666666666666,3.287784679418107,2.2748977417367873,0.6919241871214672,0.7783944182805362,3,"[[2, 3], [1, 3], [2, 3], [1, 3]]","[true, true, true, true, false]",1,2.0,0,1,1,"[[2, 10], [2, 10], [2, 10], [2, 10], [2, 10]]","[[1, 10], [1, 10], [1, 10], [1, 10], [1, 10]]","[[3, 12], [3, 12], [3, 12], [3, 12], [3, 12]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[2.0, 2.0], [2.0, 2.0], [2.0, 2.0], [2.0, 2.0], [2.0, 2.0]]","[[NaN, NaN], [NaN, NaN], [NaN, NaN], [NaN, NaN], [NaN, NaN]]","[[1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0]]",0.5,0.960621718615197,0.3991129579999999
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,balanced_static,static,1931,1,delay_aware_dual_anchor,13.109967062074265,8.990747945326033,8.990747945326033,0.7517507365273683,0.6857948538509534,1.0,0.8333333333333334,3.287784679418107,2.1554500473265965,0.655593433724523,0.7517507365273683,2,"[[2, 3], [1, 3], [1, 3], [2, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[2, 10], [2, 10], [2, 10], [2, 10], [2, 10]]","[[1, 10], [1, 10], [1, 10], [1, 10], [1, 10]]","[[3, 12], [3, 12], [3, 12], [3, 12], [3, 12]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.25, 2.5], [0.25, 2.5], [0.25, 2.5], [0.25, 2.5], [0.25, 2.5]]","[[NaN, NaN], [NaN, NaN], [NaN, NaN], [NaN, NaN], [NaN, NaN]]","[[0.25, 0.25], [0.25, 0.25], [0.25, 0.25], [0.25, 0.25], [0.25, 0.25]]",0.5,0.9593963734168722,0.34331429199999963
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,balanced_static,static,1931,1,adaptive_rolling_delay,13.109967062074265,8.508810675168595,8.508810675168595,0.7280206019886615,0.6490337187637699,1.0,0.8333333333333334,3.287784679418107,2.046956087395892,0.6225943262677942,0.7280206019886615,2,"[[2, 3], [1, 3], [1, 3], [2, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[2, 10], [2, 10], [2, 10], [2, 10], [2, 10]]","[[1, 10], [1, 10], [1, 10], [1, 10], [1, 10]]","[[3, 12], [3, 12], [3, 12], [3, 12], [3, 12]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.17493772629224716, 3.5], [0.17492435188322897, 3.5], [0.17492185518953712, 3.5], [0.1749192439858582, 3.5], [0.17490789215030275, 3.5]]","[[0.9975090516898872, 0.9808766228416278], [0.9969740753291596, 0.9824609642981648], [0.9968742075814853, 0.9825452348197562], [0.996769759434329, 0.9823800073449569], [0.996315686012111, 0.9822581036417611]]","[[0.17493772629224716, 0.3756016232535744], [0.17492435188322897, 0.3759660217885779], [0.17492185518953712, 0.37598540400854397], [0.1749192439858582, 0.3759474016893401], [0.17490789215030275, 0.37591936383760505]]",0.5,0.9595780611789153,0.3512127500000002
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,balanced_static,static,1931,1,oracle_adaptive_delay,13.109967062074265,8.547409907803745,8.547409907803745,0.7298507936467036,0.6519779849432642,1.0,0.8333333333333334,3.287784679418107,2.0513357090537303,0.6239264152227842,0.7298507936467036,2,"[[2, 3], [1, 3], [1, 3], [2, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[2, 10], [2, 10], [2, 10], [2, 10], [2, 10]]","[[1, 10], [1, 10], [1, 10], [1, 10], [1, 10]]","[[3, 12], [3, 12], [3, 12], [3, 12], [3, 12]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.4, 3.5], [0.4, 3.5], [0.4, 3.5], [0.4, 3.5], [0.4, 3.5]]","[[1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0]]","[[0.2, 0.38], [0.2, 0.38], [0.2, 0.38], [0.2, 0.38], [0.2, 0.38]]",0.5,0.9597839843414753,0.34472554199999994
