method,runs,median_task_auc,median_final_task_ratio,median_final_violation_rate,median_final_global_ratio,median_rejected_trials,success_rate,median_elapsed_s
full_trajectory,30,0.40893492456182634,0.17201220554617946,0.3333333333333333,0.17806663544367152,0.0,1.0,0.2469648334999981
static_tolerance,30,0.40234528596689967,0.25065938998590936,0.3333333333333333,0.33530774108277683,0.0,1.0,0.20851731249999972
curvature_zones,30,0.38475250493038204,0.1709985507865996,0.3333333333333333,0.3190277941746785,0.0,1.0,0.211118083000001
jerk_zones,30,0.4906217089502988,0.28756796169340837,0.3333333333333333,0.2902267535186143,0.0,1.0,0.20721847900000334
error_peak_dynamic,30,0.3731114262196864,0.16589774807456875,0.3333333333333333,0.3069417323978373,0.0,1.0,0.2132890209999978
violation_dynamic,30,0.3671519803828449,0.1469501076319231,0.25,0.31704492222524144,0.0,1.0,0.21484893749999934
violation_safe,30,0.3671519803828449,0.1469501076319231,0.25,0.3245908801696272,0.0,1.0,0.21170464550000112
random_zones,30,0.49837770905736084,0.3052082839571127,0.3333333333333333,0.32637230942145995,0.0,1.0,0.2054336670000012
