trajectory,domain_seed,method,initial_task_score,final_task_score,last_observed_task_score,task_auc_normalized,final_task_ratio,initial_violation_rate,final_violation_rate,initial_task_max_ratio,final_task_max_ratio,initial_global_rmse,final_global_rmse,final_global_ratio,selection_switches,selection_history,accepted_history,rejected_trials,final_trust_radius_mm,constraint_violation,all_updates_succeeded,elapsed_s
harmonic_loop,631,full_trajectory,14.421427541821247,4.353212764614049,4.353212764614049,0.47758005056498254,0.30185727120217476,0.8333333333333334,0.6666666666666666,20.297578846118675,5.53917844714267,1.6901659043003565,0.757193429740459,0.44799947023774506,0,"[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[true, true, true, true, true]",0,0.0,0,1,0.30086954099999996
harmonic_loop,631,static_tolerance,14.421427541821247,3.791381745790125,3.791381745790125,0.4292871732429192,0.2628991987648485,0.8333333333333334,0.6666666666666666,20.297578846118675,4.756922052070974,1.6901659043003565,0.9627599976432674,0.5696245529469496,0,"[[2, 3], [2, 3], [2, 3], [2, 3]]","[true, true, true, true, true]",0,0.0,0,1,0.24361341700000017
harmonic_loop,631,curvature_zones,14.421427541821247,3.791381745790125,3.791381745790125,0.4292871732429192,0.2628991987648485,0.8333333333333334,0.6666666666666666,20.297578846118675,4.756922052070974,1.6901659043003565,0.9627599976432674,0.5696245529469496,0,"[[2, 3], [2, 3], [2, 3], [2, 3]]","[true, true, true, true, true]",0,0.0,0,1,0.24279287500000013
harmonic_loop,631,jerk_zones,14.421427541821247,6.853470612569042,6.853470612569042,0.6731932589425934,0.4752283082028046,0.8333333333333334,0.5,20.297578846118675,9.414549468211954,1.6901659043003565,0.8911747471337362,0.527270574365679,0,"[[1, 2], [1, 2], [1, 2], [1, 2]]","[true, true, true, true, true]",0,0.0,0,1,0.21936195800000013
harmonic_loop,631,error_peak_dynamic,14.421427541821247,4.112583555108438,4.112583555108438,0.4414923686195663,0.28517173790057887,0.8333333333333334,0.6666666666666666,20.297578846118675,5.234497636117088,1.6901659043003565,0.9465278715294769,0.5600206873900297,2,"[[1, 3], [1, 3], [3, 4], [1, 3]]","[true, true, true, true, true]",0,0.0,0,1,0.25217737500000004
harmonic_loop,631,violation_dynamic,14.421427541821247,3.809303184880315,3.809303184880315,0.42664397101099705,0.26414189398612387,0.8333333333333334,0.6666666666666666,20.297578846118675,4.841309822437767,1.6901659043003565,0.9403223820429388,0.5563491605471623,2,"[[3, 4], [1, 3], [1, 3], [3, 4]]","[true, true, true, true, true]",0,0.0,0,1,0.2509771249999999
harmonic_loop,631,violation_safe,14.421427541821247,3.809303184880315,3.809303184880315,0.42664397101099705,0.26414189398612387,0.8333333333333334,0.6666666666666666,20.297578846118675,4.841309822437767,1.6901659043003565,0.9403223820429388,0.5563491605471623,2,"[[3, 4], [1, 3], [1, 3], [3, 4]]","[true, true, true, true, true]",0,4.0,0,1,0.25743916600000016
harmonic_loop,631,random_zones,14.421427541821247,6.199789345850705,6.199789345850705,0.6217488652478385,0.4299012235696986,0.8333333333333334,0.6666666666666666,20.297578846118675,8.416759095578326,1.6901659043003565,0.8473127010614777,0.5013192485457352,0,"[[1, 5], [1, 5], [1, 5], [1, 5]]","[true, true, true, true, true]",0,0.0,0,1,0.23403004100000002
harmonic_loop,647,full_trajectory,4.97089396229428,0.6377625769756652,0.6377625769756652,0.3724862864937723,0.12829937267084862,0.6666666666666666,0.0,6.348424104381413,0.758225597993556,0.6763192322364728,0.09848499487946583,0.1456190955176488,0,"[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[true, true, true, true, true]",0,0.0,0,1,0.2262716669999998
harmonic_loop,647,static_tolerance,4.97089396229428,1.0164663934829763,1.0164663934829763,0.38153802833371125,0.20448362028906236,0.6666666666666666,0.3333333333333333,6.348424104381413,1.3148823920360346,0.6763192322364728,0.18838698187948164,0.2785474268660347,0,"[[2, 3], [2, 3], [2, 3], [2, 3]]","[true, true, true, true, true]",0,0.0,0,1,0.1676471669999997
harmonic_loop,647,curvature_zones,4.97089396229428,1.0164663934829763,1.0164663934829763,0.38153802833371125,0.20448362028906236,0.6666666666666666,0.3333333333333333,6.348424104381413,1.3148823920360346,0.6763192322364728,0.18838698187948164,0.2785474268660347,0,"[[2, 3], [2, 3], [2, 3], [2, 3]]","[true, true, true, true, true]",0,0.0,0,1,0.1677860419999999
harmonic_loop,647,jerk_zones,4.97089396229428,1.6346741995148677,1.6346741995148677,0.5516832911611852,0.3288491389907653,0.6666666666666666,0.3333333333333333,6.348424104381413,2.2413410791634587,0.6763192322364728,0.20135059434250344,0.2977153165919461,0,"[[1, 2], [1, 2], [1, 2], [1, 2]]","[true, true, true, true, true]",0,0.0,0,1,0.17256674999999966
harmonic_loop,647,error_peak_dynamic,4.97089396229428,0.8995526359228732,0.8995526359228732,0.37280860285348233,0.18096395592950673,0.6666666666666666,0.16666666666666666,6.348424104381413,1.183163838762399,0.6763192322364728,0.15209213407213085,0.2248821663243081,3,"[[2, 3], [2, 4], [1, 3], [2, 4]]","[true, true, true, true, true]",0,0.0,0,1,0.18478808400000002
harmonic_loop,647,violation_dynamic,4.97089396229428,0.6555537236566573,0.6555537236566573,0.36667291292232956,0.13187843648028477,0.6666666666666666,0.0,6.348424104381413,0.800351679993152,0.6763192322364728,0.14967071385182176,0.221301874496288,3,"[[2, 3], [2, 4], [1, 3], [3, 4]]","[true, true, true, true, true]",0,0.0,0,1,0.1878449170000005
harmonic_loop,647,violation_safe,4.97089396229428,0.6555537236566573,0.6555537236566573,0.36667291292232956,0.13187843648028477,0.6666666666666666,0.0,6.348424104381413,0.800351679993152,0.6763192322364728,0.14967071385182176,0.221301874496288,3,"[[2, 3], [2, 4], [1, 3], [3, 4]]","[true, true, true, true, true]",0,4.0,0,1,0.18784962500000013
