method,trial,global_rmse,global_max_abs,critical_rmse,critical_max_abs
full_trajectory_ilc,0,0.6729729409258701,2.276518464518708,1.1793324448648494,2.276518464518708
full_trajectory_ilc,1,0.29359014080055046,0.8576649888727905,0.4484816606138776,0.8576649888727905
full_trajectory_ilc,2,0.1477012319928393,0.38581894881430134,0.1752484376291743,0.2926360827376586
full_trajectory_ilc,3,0.08513308014158,0.26447459479860924,0.07061085107296652,0.15396438182232242
full_trajectory_ilc,4,0.0553748133020788,0.1864449733480813,0.030668939178698194,0.08059589804952183
full_trajectory_ilc,5,0.03960143702306238,0.14546572903426971,0.017953421316980106,0.04189312134107881
full_trajectory_ilc,6,0.030529118287333245,0.11887544278247641,0.014723093810596482,0.025370245997865082
full_trajectory_ilc,7,0.025244637466457616,0.0961122697606906,0.013302674834522653,0.029039314508009673
full_trajectory_ilc,8,0.022195789663581964,0.07919678045941353,0.012262259910320152,0.030312862129622142
critical_window_ilc,0,0.6729729409258701,2.276518464518708,1.1793324448648494,2.276518464518708
critical_window_ilc,1,0.3029699956799569,0.7431841975113933,0.3972719873615464,0.7431841975113933
critical_window_ilc,2,0.1785018302731623,0.49614788475271665,0.14843168475388382,0.3519403770992958
critical_window_ilc,3,0.12139290009977377,0.40040668032913107,0.06803364742526959,0.22094333282503398
critical_window_ilc,4,0.09094101636877483,0.3420518432829619,0.035620197703850075,0.12692765904569703
critical_window_ilc,5,0.07391978900935361,0.28928132798834416,0.01992026224203373,0.07407866191567392
critical_window_ilc,6,0.06404224204802302,0.2467794251853701,0.012402591581688008,0.04769442193570805
critical_window_ilc,7,0.058018100021739495,0.21510993107200505,0.00912992749239593,0.03513950518558229
critical_window_ilc,8,0.05405119480698362,0.19259385119896022,0.007844339186681181,0.02934494648429331
