trajectory,domain_seed,method,initial_critical_rmse,final_critical_rmse,initial_global_rmse,final_global_rmse,critical_auc_normalized,global_auc_normalized,final_critical_ratio,final_global_ratio,window_iou_with_evaluation,evaluation_window_fraction,constraint_violation,all_updates_succeeded,elapsed_s
harmonic_loop,109,full_trajectory,1.2372174319495388,0.16663180575760606,0.6667803429757273,0.14659090494954885,0.3868685656937048,0.45537451317591215,0.13468271740646012,0.21984887001218206,1.0,0.20496894409937888,0,1,0.294139040999994
harmonic_loop,109,curvature_window,1.2372174319495388,0.1542321007830584,0.6667803429757273,0.22869580187990418,0.36689444797102644,0.5338848184242828,0.12466046533148825,0.34298521887923944,0.4666666666666667,0.20496894409937888,0,1,0.26803699999999253
harmonic_loop,109,jerk_window,1.2372174319495388,0.1556348304384089,0.6667803429757273,0.21652565503567306,0.38723705386470764,0.525577428187555,0.12579424312925186,0.32473311086130086,0.2,0.20496894409937888,0,1,0.2593449579999998
harmonic_loop,109,error_peak_window,1.2372174319495388,0.2370560642624549,0.6667803429757273,0.22659574929752954,0.37612730775170095,0.5213665562200538,0.19160420645618859,0.3398356770481134,0.43478260869565216,0.20496894409937888,0,1,0.2621895829999943
harmonic_loop,109,random_window,1.2372174319495388,0.3395571585957507,0.6667803429757273,0.25087109753387576,0.5249580159562365,0.5910261613321823,0.274452290945089,0.376242491514193,0.17857142857142858,0.20496894409937888,0,1,0.2532979169999976
harmonic_loop,109,automatic_eta_0.10,1.2372174319495388,0.08044110698757173,0.6667803429757273,0.3051122582750092,0.2900849167500173,0.5983739750800402,0.06501776075108891,0.4575903616374548,0.8333333333333334,0.20496894409937888,0,1,0.24439504199999362
harmonic_loop,109,automatic_eta_0.30,1.2372174319495388,0.08792247278659243,0.6667803429757273,0.22799440440704555,0.29995573128317454,0.5222420574568805,0.0710646896140552,0.3419333020369876,0.8333333333333334,0.20496894409937888,0,1,0.27216929200000095
harmonic_loop,109,automatic_eta_1.00,1.2372174319495388,0.09795583432936021,0.6667803429757273,0.17604287403799454,0.31617229087177356,0.46966923410054007,0.0791743082499305,0.26401929194904744,0.8333333333333334,0.20496894409937888,0,1,0.28150775000000294
harmonic_loop,109,learned_auto_eta_1.00,1.2372174319495388,0.09389809887571832,0.6667803429757273,0.1794775840468981,0.31439123916544914,0.4747342140264392,0.07589458121985793,0.26917047861057236,0.8857142857142857,0.20496894409937888,0,1,0.28537891700000273
harmonic_loop,109,safe_combo_eta_0.30,1.2372174319495388,0.2370560642624549,0.6667803429757273,0.22659574929752954,0.37612730775170095,0.5213665562200538,0.19160420645618859,0.3398356770481134,0.43478260869565216,0.20496894409937888,0,1,0.26288824999998894
harmonic_loop,127,full_trajectory,1.902109061927131,0.3130700704336877,1.022311118398179,0.28519261465045953,0.3993371760347597,0.4872771181131926,0.16459101988426428,0.27896851508112047,1.0,0.20496894409937888,0,1,0.318875833000007
harmonic_loop,127,curvature_window,1.902109061927131,0.24890524311324372,1.022311118398179,0.39183571136026263,0.3681994512206876,0.5589153977712804,0.13085750343940014,0.383284211927789,0.4666666666666667,0.20496894409937888,0,1,0.2710621660000072
harmonic_loop,127,jerk_window,1.902109061927131,0.2643294969201958,1.022311118398179,0.4200477529226276,0.38915751664131554,0.5606001981740807,0.13896653047454025,0.4108805483606445,0.2,0.20496894409937888,0,1,0.2781381249999981
