method,runs,median_critical_auc,q25_critical_auc,q75_critical_auc,median_final_critical_ratio,median_final_global_ratio,median_window_iou,success_rate,median_elapsed_s
automatic_eta_0.10,30,0.38215570230467744,0.3169889861743924,0.4796090796138166,0.17333226576244276,0.4077230130065309,0.5,1.0,0.264813125499999
automatic_eta_0.30,30,0.3735973427662116,0.3181386062267899,0.46457245281896475,0.17304675556035287,0.34211378303489115,0.5,1.0,0.29745239599999707
automatic_eta_1.00,30,0.3864232916741845,0.31517877400881117,0.4533992920789656,0.1746126919108999,0.30480398586788104,0.5,1.0,0.316194521000007
curvature_window,30,0.4365892439022055,0.3702935851675858,0.5273531179141673,0.20560420675902852,0.31234353678800764,0.2692307692307692,1.0,0.3054238540000016
error_peak_window,30,0.3679271143953507,0.3348118745530745,0.43150437278388976,0.1644330802379454,0.2940721153626055,0.8333333333333334,1.0,0.30005964599999846
full_trajectory,30,0.4424836263700985,0.3491391565439041,0.4578653192341286,0.20360484623392844,0.24550129628837591,1.0,1.0,0.3247807709999986
jerk_window,30,0.4112001446411537,0.3598306192747794,0.45329591436809785,0.15494986060850285,0.2751385890172896,0.2,1.0,0.29533891649999644
random_window,30,0.45971142358602246,0.4025322649714453,0.5056861209393558,0.2590027108115539,0.283881305002768,0.10932203389830508,1.0,0.275046542000001
