scenario_id,scope,method,runs,median_initial_task_score,median_final_task_score,median_task_auc,median_final_task_ratio,median_final_global_ratio,success_rate
n0_d0_m0,all,full_trajectory,60,6.466206537971443,0.7124599417467128,0.38316140349572914,0.1448347971241497,0.15106372514501454,1.0
n0_d0_m0,all,error_peak_dynamic,60,6.466206537971443,0.6647438973662118,0.37422627105873274,0.1279512433503938,0.23105201072290965,1.0
n0_d0_m0,all,violation_safe,60,6.466206537971443,0.6645377168420675,0.36873962659686366,0.1230192500037953,0.23944338821007763,1.0
n0_d0_m0,all,dual_anchor_dynamic,60,6.466206537971443,0.6226052429928217,0.36105386450989735,0.11793240742639124,0.1565934901952755,1.0
n0_d0_m0,demand_conflict,full_trajectory,20,4.696703700034403,0.5220206238901657,0.36473484031334447,0.1196802788428071,0.15106372514501454,1.0
n0_d0_m0,demand_conflict,error_peak_dynamic,20,4.696703700034403,0.47444890178443816,0.36549944580356686,0.12916985826637484,0.19888757058717882,1.0
n0_d0_m0,demand_conflict,violation_safe,20,4.696703700034403,0.5190718966589205,0.3757202390803608,0.12015508689400414,0.21537757858079765,1.0
n0_d0_m0,demand_conflict,dual_anchor_dynamic,20,4.696703700034403,0.46301697439327943,0.36105386450989735,0.12299554413655606,0.14602896772221907,1.0
n1_d0_m0,all,full_trajectory,60,6.466206537971443,0.7247276052021603,0.3831864615479703,0.14587507225462257,0.1508127920854944,1.0
n1_d0_m0,all,error_peak_dynamic,60,6.466206537971443,0.6717648363734298,0.3685672606886228,0.12914982556716267,0.23126520608914886,1.0
n1_d0_m0,all,violation_safe,60,6.466206537971443,0.6685447881475874,0.3686732599110305,0.12739578876172036,0.2655348817470736,1.0
n1_d0_m0,all,dual_anchor_dynamic,60,6.466206537971443,0.5901349566743281,0.35675044789638244,0.11664744649514919,0.1779938879629132,1.0
n1_d0_m0,demand_conflict,full_trajectory,20,4.696703700034403,0.5358624087845534,0.3677043265766786,0.12424216370110358,0.15100518122950415,1.0
n1_d0_m0,demand_conflict,error_peak_dynamic,20,4.696703700034403,0.5399497049864663,0.3685672606886228,0.13968765985915266,0.1954102900601471,1.0
n1_d0_m0,demand_conflict,violation_safe,20,4.696703700034403,0.5248898726098463,0.3731727401330933,0.13435765674040615,0.23560360718930828,1.0
n1_d0_m0,demand_conflict,dual_anchor_dynamic,20,4.696703700034403,0.4554350186977408,0.3584827264815451,0.11732161197182443,0.16601932382207907,1.0
n0_d1_m0,all,full_trajectory,60,13.405511040417224,6.645758527530207,0.6472100226831368,0.5048903212377933,0.5432995914451744,1.0
n0_d1_m0,all,error_peak_dynamic,60,13.405511040417224,6.012662369326934,0.6133569836320409,0.46958544712395933,0.6440664744015945,1.0
n0_d1_m0,all,violation_safe,60,13.405511040417224,5.8712292959637775,0.6033075845391206,0.43929997946190946,0.6452875797678475,1.0
n0_d1_m0,all,dual_anchor_dynamic,60,13.405511040417224,6.052413084121817,0.6141838538841418,0.46751542957991593,0.6351503281388784,1.0
n0_d1_m0,demand_conflict,full_trajectory,20,8.988379126244357,4.852751397262091,0.6432051964215546,0.5048903212377933,0.5432995914451744,1.0
n0_d1_m0,demand_conflict,error_peak_dynamic,20,8.988379126244357,4.331787048694936,0.6389052267347397,0.5284449333331998,0.6422027830826118,1.0
n0_d1_m0,demand_conflict,violation_safe,20,8.988379126244357,4.026319866752727,0.5981703226993238,0.4757817662010746,0.6423542747781721,1.0
n0_d1_m0,demand_conflict,dual_anchor_dynamic,20,8.988379126244357,4.1185390853496475,0.6244675296781332,0.46278844316048806,0.6439591238092232,1.0
n0_d0_m1,all,full_trajectory,60,6.278786350104147,0.7770490709220693,0.3666238926762078,0.11363954196033307,0.12942988542862988,1.0
n0_d0_m1,all,error_peak_dynamic,60,6.278786350104147,0.7257447041643386,0.3655720043428208,0.12162003125729864,0.19971349935043833,1.0
n0_d0_m1,all,violation_safe,60,6.278786350104147,0.7290825112977352,0.36034674520699506,0.11681755999349,0.21820245504949168,1.0
n0_d0_m1,all,dual_anchor_dynamic,60,6.278786350104147,0.5754160845352437,0.3532888398243619,0.10098450698261933,0.1381511849267415,1.0
n0_d0_m1,demand_conflict,full_trajectory,20,4.588930647485263,0.5645708509782426,0.3548943404154464,0.11363954196033307,0.12942988542862988,1.0
n0_d0_m1,demand_conflict,error_peak_dynamic,20,4.588930647485263,0.515017185852307,0.36181185954267414,0.1153858912733655,0.1816303486903877,1.0
n0_d0_m1,demand_conflict,violation_safe,20,4.588930647485263,0.5468452662757872,0.36868375373596485,0.11388811830644305,0.2152230789853115,1.0
n0_d0_m1,demand_conflict,dual_anchor_dynamic,20,4.588930647485263,0.45482861058678337,0.3532888398243619,0.10480286882528198,0.1361058822373244,1.0
n1_d1_m0,all,full_trajectory,60,13.405511040417224,6.6484370169858025,0.6479153592022984,0.5050231317862792,0.5437018022662103,1.0
n1_d1_m0,all,error_peak_dynamic,60,13.405511040417224,6.0211934214277125,0.6136135749836673,0.4702862299678312,0.644168292312289,1.0
n1_d1_m0,all,violation_safe,60,13.405511040417224,5.874726510081116,0.602456055388768,0.43859937639830066,0.6519539008909252,1.0
n1_d1_m0,all,dual_anchor_dynamic,60,13.405511040417224,6.084108824750599,0.6141932243104585,0.4686583863178654,0.6281930235556008,1.0
n1_d1_m0,demand_conflict,full_trajectory,20,8.988379126244357,4.854032949158858,0.643522043286018,0.5050231317862792,0.5437822366215057,1.0
n1_d1_m0,demand_conflict,error_peak_dynamic,20,8.988379126244357,4.342729240865987,0.6395988185600918,0.5298869485893563,0.6423276242963691,1.0
n1_d1_m0,demand_conflict,violation_safe,20,8.988379126244357,4.028284860853393,0.5990533346087583,0.4772285208350392,0.6445088641683435,1.0
n1_d1_m0,demand_conflict,dual_anchor_dynamic,20,8.988379126244357,4.123726183942265,0.624881090433353,0.463995911743785,0.6225804298843696,1.0
n1_d0_m1,all,full_trajectory,60,6.278786350104147,0.7791067707169781,0.367761015927235,0.11680719720396923,0.13110778686732338,1.0
n1_d0_m1,all,error_peak_dynamic,60,6.278786350104147,0.7009126036724724,0.36682217240669157,0.1203964305275208,0.19374185895594764,1.0
n1_d0_m1,all,violation_safe,60,6.278786350104147,0.6603345438065373,0.3619423060389809,0.12258831404685062,0.21969952332322468,1.0
n1_d0_m1,all,dual_anchor_dynamic,60,6.278786350104147,0.5986124066683965,0.35647768957910686,0.10278868362406335,0.14863856483007193,1.0
n1_d0_m1,demand_conflict,full_trajectory,20,4.588930647485263,0.5535222084354614,0.36003612340182056,0.11680719720396923,0.13081016176201649,1.0
n1_d0_m1,demand_conflict,error_peak_dynamic,20,4.588930647485263,0.49794480922821727,0.3625984811127685,0.11631872935685006,0.17967961036847685,1.0
n1_d0_m1,demand_conflict,violation_safe,20,4.588930647485263,0.5505316678440344,0.3707310671958961,0.13525926095425028,0.22030864724618127,1.0
n1_d0_m1,demand_conflict,dual_anchor_dynamic,20,4.588930647485263,0.4395672428191144,0.35647768957910686,0.10504176830406539,0.16135324562162406,1.0
n0_d1_m1,all,full_trajectory,60,13.360922810035957,5.925417510661701,0.6351720548251922,0.48920793052040445,0.5474495007496619,1.0
n0_d1_m1,all,error_peak_dynamic,60,13.360922810035957,5.742777320858966,0.615529530247077,0.4604075185432442,0.6334495548908803,1.0
n0_d1_m1,all,violation_safe,60,13.360922810035957,5.861525424499634,0.6055858450605993,0.4280539983392363,0.6463661193563583,1.0
n0_d1_m1,all,dual_anchor_dynamic,60,13.360922810035957,5.819245898596519,0.6186441837527087,0.4622509907483612,0.6358811663873807,1.0
n0_d1_m1,demand_conflict,full_trajectory,20,8.632573419226176,4.477794542274866,0.6240906115691569,0.4844501973922367,0.5474495007496619,1.0
n0_d1_m1,demand_conflict,error_peak_dynamic,20,8.632573419226176,3.985048406628874,0.6292832526794236,0.4878509834240715,0.6086597147228665,1.0
n0_d1_m1,demand_conflict,violation_safe,20,8.632573419226176,3.515622018682717,0.5989680044835529,0.4468519836389514,0.6137410348790591,1.0
n0_d1_m1,demand_conflict,dual_anchor_dynamic,20,8.632573419226176,3.5974519440209587,0.6186441837527087,0.4622509907483612,0.6361508525707229,1.0
n1_d1_m1,all,full_trajectory,60,13.360922810035957,5.92548192324792,0.6354510457897551,0.48954504700137336,0.5474719507599626,1.0
n1_d1_m1,all,error_peak_dynamic,60,13.360922810035957,5.737562912621502,0.6066255602238961,0.43679653106704897,0.6296453050916382,1.0
