plant_group,scenario_id,proposed,comparator,plant_id,tasks_within_plant,plant_median_effect_percent
held_out_lhs,n0_d1_m0,v11_full,no_residual_alignment,P02,5,7.179960470635437
held_out_lhs,n0_d1_m0,v11_full,no_residual_alignment,P03,5,6.765133351081114
held_out_lhs,n0_d1_m0,v11_full,no_residual_alignment,P04,5,4.338742259449712
held_out_lhs,n0_d1_m0,v11_full,no_residual_alignment,P05,5,5.536594362060824
held_out_lhs,n0_d1_m0,v11_full,no_residual_alignment,P06,5,7.9814638352493645
held_out_lhs,n0_d1_m0,v11_full,no_residual_alignment,P07,5,4.223949515252645
held_out_lhs,n0_d1_m0,v11_full,no_residual_alignment,P08,5,5.243017551714505
held_out_lhs,n0_d1_m0,v11_full,no_residual_alignment,P09,5,5.387816975247304
held_out_lhs,n0_d1_m0,v11_full,no_residual_alignment,P10,5,4.5262246847975875
held_out_lhs,n0_d1_m0,v11_full,no_residual_alignment,P11,5,6.61887563352815
held_out_lhs,n0_d1_m0,v11_full,no_residual_alignment,P12,5,6.697204676436065
held_out_lhs,n0_d1_m0,v11_full,no_residual_alignment,P13,5,6.585144452084206
held_out_lhs,n0_d1_m0,v11_full,no_residual_alignment,P14,5,3.459646629913803
held_out_lhs,n0_d1_m0,v11_full,no_residual_alignment,P15,5,8.478518865356602
held_out_lhs,n0_d1_m0,v11_full,no_residual_alignment,P16,5,3.1060139448149533
held_out_lhs,n0_d1_m0,v11_full,no_residual_alignment,P17,5,4.3167680381349145
held_out_lhs,n0_d1_m0,v11_full,no_residual_alignment,P18,5,5.235414204282005
held_out_lhs,n0_d1_m0,v11_full,no_residual_alignment,P19,5,4.832029068086913
held_out_lhs,n0_d1_m0,v11_full,no_residual_alignment,P20,5,8.581901521807572
held_out_lhs,n0_d1_m0,v11_full,no_residual_alignment,P21,5,7.8498110422272465
held_out_lhs,n0_d1_m0,v11_full,no_residual_alignment,P22,5,6.08628974446528
held_out_lhs,n0_d1_m0,v11_full,no_residual_alignment,P23,5,5.641744775579423
held_out_lhs,n0_d1_m0,v11_full,no_residual_alignment,P24,5,4.2059731874557285
held_out_lhs,n0_d1_m0,v11_full,raw_top2,P01,5,0.0
held_out_lhs,n0_d1_m0,v11_full,raw_top2,P02,5,3.9592286565711583
held_out_lhs,n0_d1_m0,v11_full,raw_top2,P03,5,7.729333346008113
held_out_lhs,n0_d1_m0,v11_full,raw_top2,P04,5,0.0
held_out_lhs,n0_d1_m0,v11_full,raw_top2,P05,5,0.0
held_out_lhs,n0_d1_m0,v11_full,raw_top2,P06,5,0.0
held_out_lhs,n0_d1_m0,v11_full,raw_top2,P07,5,0.3137313866581658
