scope,method,runs,median_task_auc,median_final_task_ratio,median_final_violation_rate,median_final_global_ratio,median_rejected_trials,success_rate,median_elapsed_s
all,full_trajectory,90,0.4098046121900941,0.16601188708272513,0.16666666666666666,0.20551687418599984,0.0,1.0,0.23598112499999502
all,static_tolerance,90,0.5055241257518475,0.29453941288483604,0.5,0.4020982660182173,0.0,1.0,0.17184164599999718
all,curvature_zones,90,0.4172396751835229,0.19303914250237675,0.3333333333333333,0.30019777339599846,0.0,1.0,0.19806585399999932
all,error_peak_dynamic,90,0.3811598620352608,0.15318220210233663,0.16666666666666666,0.2784758531629566,0.0,1.0,0.1956051875
all,violation_dynamic,90,0.37189564852423174,0.1394350798247574,0.08333333333333333,0.31221853109901726,0.0,1.0,0.19914945799999373
all,violation_safe,90,0.37189564852423174,0.1394350798247574,0.08333333333333333,0.3091219348229083,0.0,1.0,0.1982891040000041
all,random_zones,90,0.5245208377738108,0.29173808618797903,0.3333333333333333,0.3774331304730941,0.0,1.0,0.18225283349999977
neutral,full_trajectory,30,0.40755540544748237,0.16598972048899371,0.16666666666666666,0.20551687418599984,0.0,1.0,0.23466870849999566
neutral,static_tolerance,30,0.4484018961042647,0.2694197649910818,0.25,0.2849001097663556,0.0,1.0,0.2104363545000001
neutral,curvature_zones,30,0.3758730074881055,0.16095105983919733,0.16666666666666666,0.27312858819444374,0.0,1.0,0.21389085399999175
neutral,error_peak_dynamic,30,0.36904214355374654,0.1447183654746721,0.08333333333333333,0.24097124027640776,0.0,1.0,0.22139052049999464
neutral,violation_dynamic,30,0.361224496894489,0.14127486880534887,0.08333333333333333,0.2426904469768733,0.0,1.0,0.2243134585000015
neutral,violation_safe,30,0.361224496894489,0.14127486880534887,0.08333333333333333,0.2426904469768733,0.0,1.0,0.22275599999999685
neutral,random_zones,30,0.48299057484374924,0.251919664844251,0.3333333333333333,0.28271709682631097,0.0,1.0,0.2147434995000026
demand_aligned,full_trajectory,30,0.42680811683865827,0.18257837503992438,0.25,0.20551687418599984,0.0,1.0,0.23358435450001025
demand_aligned,static_tolerance,30,0.3665587437663087,0.16277949974887096,0.3333333333333333,0.47747900809867766,0.0,1.0,0.1539630000000045
demand_aligned,curvature_zones,30,0.39823107809298675,0.16277949974887096,0.3333333333333333,0.44245983445938464,0.0,1.0,0.160080666999999
demand_aligned,error_peak_dynamic,30,0.4020297551375209,0.15833893155128995,0.3333333333333333,0.38450984050493564,0.0,1.0,0.1553035414999968
demand_aligned,violation_dynamic,30,0.36126915928580416,0.1349286231238976,0.3333333333333333,0.3983829883914102,0.0,1.0,0.15400199999999664
demand_aligned,violation_safe,30,0.36126915928580416,0.1349286231238976,0.3333333333333333,0.40580361355940375,0.0,1.0,0.16027162499998937
demand_aligned,random_zones,30,0.5346200913760806,0.378680631613824,0.3333333333333333,0.4231288284888901,0.0,1.0,0.1651938539999982
demand_conflict,full_trajectory,30,0.39603637481375087,0.1445376236387228,0.0,0.20551687418599984,0.0,1.0,0.24078704199999557
demand_conflict,static_tolerance,30,0.6972524499908761,0.5066043866483783,0.5833333333333333,0.5346129224025673,0.0,1.0,0.15619983350000588
demand_conflict,curvature_zones,30,0.4848938424198398,0.21564058865186542,0.16666666666666666,0.30019777339599846,0.0,1.0,0.19690285350000636
demand_conflict,error_peak_dynamic,30,0.37678751733797444,0.13832795729470504,0.0,0.2784758531629566,0.0,1.0,0.19761452050000372
demand_conflict,violation_dynamic,30,0.3836935013506382,0.1425693700044824,0.0,0.31221853109901726,0.0,1.0,0.20080239549999135
demand_conflict,violation_safe,30,0.3836935013506382,0.1425693700044824,0.0,0.3091219348229083,0.0,1.0,0.20106337449999856
demand_conflict,random_zones,30,0.5934902027422568,0.3866771999190044,0.3333333333333333,0.4132343226191506,0.0,1.0,0.1736157294999927
