manifest_id,trajectory,regime,domain_seed,method,initial_task_score,final_task_score,last_observed_task_score,task_auc_normalized,final_task_ratio,initial_violation_rate,final_violation_rate,initial_task_max_ratio,final_task_max_ratio,initial_global_rmse,final_global_rmse,final_global_ratio,selection_switches,selection_history,accepted_history,rejected_trials,final_trust_radius_mm,constraint_violation,all_updates_succeeded,elapsed_s
harmonic_loop--neutral,harmonic_loop,neutral,811,full_trajectory,8.320836682541433,2.04095618764267,2.04095618764267,0.4521398553762411,0.24528256778851962,0.8333333333333334,0.5,11.629870218005987,2.546902319694077,1.210627794235553,0.40718496531171117,0.33634199317951957,0,"[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[true, true, true, true, true]",0,0.0,0,1,0.27408037500000004
harmonic_loop--neutral,harmonic_loop,neutral,811,static_tolerance,8.320836682541433,2.7580381451546923,2.7580381451546923,0.5507979365001079,0.33146163665746947,0.8333333333333334,0.6666666666666666,11.629870218005987,3.640726016007436,1.210627794235553,0.482161979832431,0.3982743351245216,0,"[[4, 5], [4, 5], [4, 5], [4, 5]]","[true, true, true, true, true]",0,0.0,0,1,0.23702475
harmonic_loop--neutral,harmonic_loop,neutral,811,curvature_zones,8.320836682541433,2.311326549259197,2.311326549259197,0.41330224622325007,0.2777757378784712,0.8333333333333334,0.5,11.629870218005987,3.0450422362887695,1.210627794235553,0.5175221689777538,0.42748247763842356,0,"[[2, 3], [2, 3], [2, 3], [2, 3]]","[true, true, true, true, true]",0,0.0,0,1,0.24089679200000003
harmonic_loop--neutral,harmonic_loop,neutral,811,error_peak_dynamic,8.320836682541433,1.9088221317561729,1.9088221317561729,0.3891361506049409,0.22940266761408917,0.8333333333333334,0.5,11.629870218005987,2.443390785956885,1.210627794235553,0.4280045158568572,0.35353931067402866,3,"[[1, 3], [3, 4], [1, 3], [1, 4]]","[true, true, true, true, true]",0,0.0,0,1,0.25356200000000007
harmonic_loop--neutral,harmonic_loop,neutral,811,violation_dynamic,8.320836682541433,1.5841666543194544,1.5841666543194544,0.3842590046846589,0.19038550025183312,0.8333333333333334,0.5,11.629870218005987,1.9070115003487842,1.210627794235553,0.4705541051370085,0.38868602503392746,3,"[[1, 3], [3, 4], [1, 3], [3, 4]]","[true, true, true, true, true]",0,0.0,0,1,0.2446993329999998
harmonic_loop--neutral,harmonic_loop,neutral,811,violation_safe,8.320836682541433,1.5841666543194544,1.5841666543194544,0.3842590046846589,0.19038550025183312,0.8333333333333334,0.5,11.629870218005987,1.9070115003487842,1.210627794235553,0.4705541051370085,0.38868602503392746,3,"[[1, 3], [3, 4], [1, 3], [3, 4]]","[true, true, true, true, true]",0,4.0,0,1,0.2447134590000002
harmonic_loop--neutral,harmonic_loop,neutral,811,random_zones,8.320836682541433,2.787495575907734,2.787495575907734,0.5634833698357972,0.33500183722586285,0.8333333333333334,0.5,11.629870218005987,3.6326441085695467,1.210627794235553,0.5052242941359251,0.4173242152060017,0,"[[2, 5], [2, 5], [2, 5], [2, 5]]","[true, true, true, true, true]",0,0.0,0,1,0.22545454200000004
harmonic_loop--neutral,harmonic_loop,neutral,827,full_trajectory,4.536167928883102,0.7746871837188953,0.7746871837188953,0.41799827650438265,0.17078009365267025,0.6666666666666666,0.0,6.047582022976749,0.9515571218742096,0.6759354225828892,0.14126709990108877,0.2089949648759018,0,"[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[true, true, true, true, true]",0,0.0,0,1,0.23102908300000013
harmonic_loop--neutral,harmonic_loop,neutral,827,static_tolerance,4.536167928883102,1.3656256572103467,1.3656256572103467,0.5257095684657374,0.3010527120292462,0.6666666666666666,0.5,6.047582022976749,1.7559761142298842,0.6759354225828892,0.23036101466484465,0.34080328825583295,0,"[[4, 5], [4, 5], [4, 5], [4, 5]]","[true, true, true, true, true]",0,0.0,0,1,0.21050195900000013
harmonic_loop--neutral,harmonic_loop,neutral,827,curvature_zones,4.536167928883102,0.893721819507693,0.893721819507693,0.3858421841008227,0.19702132582374343,0.6666666666666666,0.16666666666666666,6.047582022976749,1.2005696536892316,0.6759354225828892,0.1834435789267261,0.27139216676313577,0,"[[2, 3], [2, 3], [2, 3], [2, 3]]","[true, true, true, true, true]",0,0.0,0,1,0.2221090000000001
