method,runs,median_task_auc,q25_task_auc,q75_task_auc,median_final_task_ratio,median_final_violation_rate,median_final_global_ratio,median_selection_switches,success_rate,median_elapsed_s
full_trajectory,30,0.4666283641321146,0.3266731335227745,0.526581838749432,0.22728087322021928,0.2727272727272727,0.2127428671588939,0.0,1.0,0.23603470799999648
static_tolerance,30,0.5051268221612002,0.36830398126484476,0.5721825781507478,0.28127381122826256,0.3257575757575758,0.2710159592052238,0.0,1.0,0.2213434374999963
curvature_zones,30,0.4661456023818973,0.3708810289671842,0.5096812496959902,0.2895660323445765,0.21212121212121213,0.26176862366256426,0.0,1.0,0.2119676874999996
jerk_zones,30,0.4346667925052642,0.3547808216844057,0.4851262762332229,0.22187940933905298,0.19696969696969696,0.27604407430905,0.0,1.0,0.2107566034999988
error_peak_dynamic,30,0.4234882852938337,0.34466465127305407,0.47114589041934746,0.18041924886375027,0.22727272727272727,0.2598798314395111,2.0,1.0,0.21467495849999807
violation_dynamic,30,0.41225760142570256,0.32958335288310525,0.4587682624544314,0.17240317717176756,0.24242424242424243,0.26304701523513074,2.0,1.0,0.21587895850000383
random_zones,30,0.5043323585140593,0.3668296246208599,0.5920634571984191,0.2980248787568993,0.30303030303030304,0.28936444390818794,0.0,1.0,0.21501339650000517
nominal_lookahead_dynamic,30,0.4089153986843713,0.3391817967091624,0.46052250200171707,0.17643194228828146,0.21212121212121213,0.2936322718037999,2.0,1.0,2.8336718750000003
