trajectory,domain_seed,method,initial_task_nrmse,final_task_nrmse,task_auc_normalized,final_task_ratio,initial_violation_rate,final_violation_rate,initial_task_max_ratio,final_task_max_ratio,initial_global_rmse,final_global_rmse,final_global_ratio,selection_switches,selection_history,constraint_violation,all_updates_succeeded,elapsed_s
harmonic_loop,431,full_trajectory,3.538194511763141,1.03990102373218,0.5154387377681742,0.2939072513608021,0.6212121212121212,0.36363636363636365,9.160009447587067,2.2385146373820897,0.7649130463272882,0.19622849107393273,0.25653699072870983,0,"[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]",0,1,0.24354641700000002
harmonic_loop,431,static_tolerance,3.538194511763141,1.276595068163009,0.5715004224836403,0.3608040948339102,0.6212121212121212,0.3484848484848485,9.160009447587067,2.935830933961991,0.7649130463272882,0.28815322278004274,0.37671369858783765,0,"[[0, 4], [0, 4], [0, 4], [0, 4]]",0,1,0.21878441699999995
harmonic_loop,431,curvature_zones,3.538194511763141,1.1484498291148377,0.467803329142402,0.3245864028381374,0.6212121212121212,0.19696969696969696,9.160009447587067,3.1574647946756143,0.7649130463272882,0.24791886912753008,0.324113793480065,0,"[[2, 3], [2, 3], [2, 3], [2, 3]]",0,1,0.20953987500000015
harmonic_loop,431,jerk_zones,3.538194511763141,1.1484498291148377,0.467803329142402,0.3245864028381374,0.6212121212121212,0.19696969696969696,9.160009447587067,3.1574647946756143,0.7649130463272882,0.24791886912753008,0.324113793480065,0,"[[2, 3], [2, 3], [2, 3], [2, 3]]",0,1,0.21064516599999994
harmonic_loop,431,error_peak_dynamic,3.538194511763141,0.8435003222718542,0.44699099989382174,0.23839851638103526,0.6212121212121212,0.2727272727272727,9.160009447587067,1.8252557488298482,0.7649130463272882,0.222955149972791,0.2914777712882593,3,"[[2, 3], [3, 4], [2, 3], [2, 4]]",0,1,0.2107283750000002
harmonic_loop,431,violation_dynamic,3.538194511763141,0.8074171193932245,0.43731464245252694,0.22820031988316977,0.6212121212121212,0.2727272727272727,9.160009447587067,1.7256929891960757,0.7649130463272882,0.23334422085553166,0.30505979990265353,3,"[[2, 3], [3, 4], [2, 4], [3, 4]]",0,1,0.20946474999999998
harmonic_loop,431,random_zones,3.538194511763141,1.320000546935621,0.5778136568238552,0.37307178634388954,0.6212121212121212,0.2727272727272727,9.160009447587067,3.1604267176898615,0.7649130463272882,0.2767847348693644,0.36185124073689123,0,"[[1, 2], [1, 2], [1, 2], [1, 2]]",0,1,0.225237833
harmonic_loop,431,nominal_lookahead_dynamic,3.538194511763141,0.8148401486318771,0.4419633523302221,0.23029829081551223,0.6212121212121212,0.25757575757575757,9.160009447587067,1.6297271054268614,0.7649130463272882,0.2527058554650965,0.33037200329953537,2,"[[2, 3], [2, 3], [3, 4], [2, 4]]",0,1,2.8328640000000003
harmonic_loop,449,full_trajectory,5.192266615649081,1.997423299025292,0.5551582120452062,0.384691974985494,0.7727272727272727,0.4393939393939394,14.418408693005905,4.631767884666849,1.1363899944361402,0.3767278565314534,0.3315128242733078,0,"[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]",0,1,0.2734157079999999
harmonic_loop,449,static_tolerance,5.192266615649081,2.014121743668339,0.5817533582250802,0.38790799717370744,0.7727272727272727,0.45454545454545453,14.418408693005905,4.783560414015216,1.1363899944361402,0.4747280351393549,0.4177509811452607,0,"[[0, 4], [0, 4], [0, 4], [0, 4]]",0,1,0.2260103330000005
harmonic_loop,449,curvature_zones,5.192266615649081,2.2598960342107666,0.5129331478799151,0.4352426794493986,0.7727272727272727,0.3939393939393939,14.418408693005905,6.218978303680531,1.1363899944361402,0.4651502422945523,0.4093227189362512,0,"[[2, 3], [2, 3], [2, 3], [2, 3]]",0,1,0.2348917909999999
