scenario_id,scope,plant_id,manifest_id,value,proposed,baseline
n0_d0_m0,demand_conflict,S26001,ellipse--demand_conflict,-46.02608480697753,0.29892582532177886,0.20470714236905663
n0_d0_m0,demand_conflict,S26001,figure_eight--demand_conflict,-2.9277826019738313,0.3491085769928688,0.33917817732738564
n0_d0_m0,demand_conflict,S26001,harmonic_loop--demand_conflict,6.806165572100304,0.5147962914443032,0.5523930790105865
n0_d0_m0,demand_conflict,S26001,rounded_square--demand_conflict,-11.348500356530701,0.5613812895835528,0.5041660083306432
n0_d0_m0,demand_conflict,S26001,s_curve--demand_conflict,-2.5244790394243832,0.36995698272810185,0.36084746413180013
n0_d0_m0,demand_conflict,S26002,ellipse--demand_conflict,-55.21226188668813,0.29197904029024235,0.18811596245108525
n0_d0_m0,demand_conflict,S26002,figure_eight--demand_conflict,-11.113276288152122,0.3184492886581476,0.28659877495854513
n0_d0_m0,demand_conflict,S26002,harmonic_loop--demand_conflict,1.861011171859688,0.5048071016000835,0.5143797665208217
n0_d0_m0,demand_conflict,S26002,rounded_square--demand_conflict,-12.520405318966352,0.5294553191767726,0.4705416032548969
n0_d0_m0,demand_conflict,S26002,s_curve--demand_conflict,-2.918759287272069,0.35913986467751546,0.3489547164818282
n0_d0_m0,demand_conflict,S26003,ellipse--demand_conflict,-57.27812137787896,0.3176204694666085,0.20194828542203172
n0_d0_m0,demand_conflict,S26003,figure_eight--demand_conflict,-49.96225723353144,0.31630824094486304,0.21092523330872934
n0_d0_m0,demand_conflict,S26003,harmonic_loop--demand_conflict,-7.711987905345991,0.40987945814468124,0.3805328135851237
n0_d0_m0,demand_conflict,S26003,rounded_square--demand_conflict,-28.547897964221406,0.32377593793044285,0.2518718260337163
n0_d0_m0,demand_conflict,S26003,s_curve--demand_conflict,-43.29701133755455,0.3225488090205147,0.2250910929752118
n0_d0_m0,demand_conflict,S26004,ellipse--demand_conflict,-45.74074587250012,0.29895714540413026,0.20512941910265098
n0_d0_m0,demand_conflict,S26004,figure_eight--demand_conflict,-3.1863369648572735,0.3791155847003763,0.36740870531095
n0_d0_m0,demand_conflict,S26004,harmonic_loop--demand_conflict,10.382518676291854,0.4948767197364906,0.5522100291448069
n0_d0_m0,demand_conflict,S26004,rounded_square--demand_conflict,-5.66648427667295,0.4788346932317781,0.4531566432909949
n0_d0_m0,demand_conflict,S26004,s_curve--demand_conflict,-9.846687151201385,0.37070337307896306,0.3374734210861531
n0_d0_m0,demand_conflict,S26005,ellipse--demand_conflict,-29.078866010188953,0.3177640003461743,0.24617817785995372
n0_d0_m0,demand_conflict,S26005,figure_eight--demand_conflict,-4.304610592552826,0.5144039485870885,0.49317469828492516
n0_d0_m0,demand_conflict,S26005,harmonic_loop--demand_conflict,25.622299730882073,0.4602634765968413,0.6188191822703417
n0_d0_m0,demand_conflict,S26005,rounded_square--demand_conflict,-15.828499012877812,0.47321191678472807,0.40854532417977407
n0_d0_m0,demand_conflict,S26005,s_curve--demand_conflict,-4.218547756341879,0.3540838869977282,0.3397513155005382
n0_d0_m0,demand_conflict,S26006,ellipse--demand_conflict,-71.33560704579824,0.2645309015974898,0.1543934189504347
n0_d0_m0,demand_conflict,S26006,figure_eight--demand_conflict,-51.690736296144294,0.27266680102771007,0.17975178160872357
n0_d0_m0,demand_conflict,S26006,harmonic_loop--demand_conflict,-49.39898309392419,0.4273275945326069,0.2860311266402359
n0_d0_m0,demand_conflict,S26006,rounded_square--demand_conflict,-33.537950534549324,0.5443916615731423,0.4076681268463048
n0_d0_m0,demand_conflict,S26006,s_curve--demand_conflict,-17.990424977913587,0.2983580325450494,0.25286630894066064
n0_d0_m0,demand_conflict,S26007,ellipse--demand_conflict,-56.510456482444816,0.29856804182542135,0.19076555556459615
n0_d0_m0,demand_conflict,S26007,figure_eight--demand_conflict,-58.220591609867505,0.2983990364335819,0.18859684027055054
n0_d0_m0,demand_conflict,S26007,harmonic_loop--demand_conflict,-13.659897532799862,0.41150386454813437,0.3620484211939246
n0_d0_m0,demand_conflict,S26007,rounded_square--demand_conflict,-29.00218259797464,0.3101370450266003,0.24041224635176792
n0_d0_m0,demand_conflict,S26007,s_curve--demand_conflict,-52.84773838688219,0.3110163264677509,0.20348114388223304
n0_d0_m0,demand_conflict,S26008,ellipse--demand_conflict,-57.114993104092,0.3126840845197114,0.19901606991291507
n0_d0_m0,demand_conflict,S26008,figure_eight--demand_conflict,-50.537613594859245,0.3154077930607787,0.2095209200735926
n0_d0_m0,demand_conflict,S26008,harmonic_loop--demand_conflict,-7.577610721665187,0.3971914544359609,0.36921386501473025
n0_d0_m0,demand_conflict,S26008,rounded_square--demand_conflict,-31.03221584556747,0.3191034890723494,0.24353056003299206
n0_d0_m0,demand_conflict,S26008,s_curve--demand_conflict,-42.06412601585258,0.31894848863423203,0.2245102247689479
n0_d0_m0,all_tasks,S26001,ellipse--demand_aligned,-56.14541993443795,0.2735403633517832,0.1751830847594741
n0_d0_m0,all_tasks,S26001,ellipse--demand_conflict,-46.02608480697753,0.29892582532177886,0.20470714236905663
n0_d0_m0,all_tasks,S26001,ellipse--neutral,-54.21445039528574,0.2710732382723516,0.17577680793047015
n0_d0_m0,all_tasks,S26001,figure_eight--demand_aligned,-21.844033628403345,0.3851124740022291,0.3160700302952336
n0_d0_m0,all_tasks,S26001,figure_eight--demand_conflict,-2.9277826019738313,0.3491085769928688,0.33917817732738564
n0_d0_m0,all_tasks,S26001,figure_eight--neutral,-13.988912109345476,0.380986586523208,0.33423126817610227
n0_d0_m0,all_tasks,S26001,harmonic_loop--demand_aligned,-7.467433354765331,0.36762970591459476,0.3420847548307929
n0_d0_m0,all_tasks,S26001,harmonic_loop--demand_conflict,6.806165572100304,0.5147962914443032,0.5523930790105865
n0_d0_m0,all_tasks,S26001,harmonic_loop--neutral,-11.883062517036691,0.4140625405145151,0.3700850970641466
n0_d0_m0,all_tasks,S26001,rounded_square--demand_aligned,6.899143088538598,0.4761050159849687,0.5113862877091915
n0_d0_m0,all_tasks,S26001,rounded_square--demand_conflict,-11.348500356530701,0.5613812895835528,0.5041660083306432
n0_d0_m0,all_tasks,S26001,rounded_square--neutral,-0.10837331230355345,0.5293832659680042,0.5288101768635389
n0_d0_m0,all_tasks,S26001,s_curve--demand_aligned,11.624662549277316,0.38468948098600525,0.43529053702397996
n0_d0_m0,all_tasks,S26001,s_curve--demand_conflict,-2.5244790394243832,0.36995698272810185,0.36084746413180013
n0_d0_m0,all_tasks,S26001,s_curve--neutral,1.759303311014793,0.3724474881339201,0.3791173115486253
n0_d0_m0,all_tasks,S26002,ellipse--demand_aligned,-61.77780584933661,0.27247247040989786,0.16842388792418844
n0_d0_m0,all_tasks,S26002,ellipse--demand_conflict,-55.21226188668813,0.29197904029024235,0.18811596245108525
n0_d0_m0,all_tasks,S26002,ellipse--neutral,-59.765417566239634,0.2688257378086395,0.16826278296251618
n0_d0_m0,all_tasks,S26002,figure_eight--demand_aligned,-42.13654707490899,0.30283740395804154,0.21306089826316083
n0_d0_m0,all_tasks,S26002,figure_eight--demand_conflict,-11.113276288152122,0.3184492886581476,0.28659877495854513
n0_d0_m0,all_tasks,S26002,figure_eight--neutral,-26.316153645268173,0.30993015446229066,0.2453606649017061
n0_d0_m0,all_tasks,S26002,harmonic_loop--demand_aligned,-7.8623308401444065,0.3601064571689852,0.3338574777349055
n0_d0_m0,all_tasks,S26002,harmonic_loop--demand_conflict,1.861011171859688,0.5048071016000835,0.5143797665208217
n0_d0_m0,all_tasks,S26002,harmonic_loop--neutral,-14.432810538408617,0.4056210625307486,0.35446220417229424
n0_d0_m0,all_tasks,S26002,rounded_square--demand_aligned,4.106449379545941,0.4612520581240642,0.4810042543420843
n0_d0_m0,all_tasks,S26002,rounded_square--demand_conflict,-12.520405318966352,0.5294553191767726,0.4705416032548969
n0_d0_m0,all_tasks,S26002,rounded_square--neutral,-4.054715982006445,0.5136557209767916,0.4936400201847795
n0_d0_m0,all_tasks,S26002,s_curve--demand_aligned,11.129093515098864,0.3805904633394574,0.4282509072911487
n0_d0_m0,all_tasks,S26002,s_curve--demand_conflict,-2.918759287272069,0.35913986467751546,0.3489547164818282
n0_d0_m0,all_tasks,S26002,s_curve--neutral,2.1987270936784724,0.36478201121203624,0.37298288700336335
n0_d0_m0,all_tasks,S26003,ellipse--demand_aligned,-51.625261272139596,0.24618559381206562,0.1623644976744393
n0_d0_m0,all_tasks,S26003,ellipse--demand_conflict,-57.27812137787896,0.3176204694666085,0.20194828542203172
n0_d0_m0,all_tasks,S26003,ellipse--neutral,-45.71607606291146,0.2575089441355828,0.1767196531043053
n0_d0_m0,all_tasks,S26003,figure_eight--demand_aligned,-56.02555306773444,0.30785763378547903,0.19731231694582146
n0_d0_m0,all_tasks,S26003,figure_eight--demand_conflict,-49.96225723353144,0.31630824094486304,0.21092523330872934
n0_d0_m0,all_tasks,S26003,figure_eight--neutral,-53.67771618272598,0.31701449874115956,0.20628527454443868
n0_d0_m0,all_tasks,S26003,harmonic_loop--demand_aligned,-12.576230055535191,0.31645278148658756,0.28110088722146553
n0_d0_m0,all_tasks,S26003,harmonic_loop--demand_conflict,-7.711987905345991,0.40987945814468124,0.3805328135851237
n0_d0_m0,all_tasks,S26003,harmonic_loop--neutral,-15.507051902367293,0.3378800760128675,0.29251900247481144
n0_d0_m0,all_tasks,S26003,rounded_square--demand_aligned,11.952925176532505,0.35746322590549806,0.40599102993734226
n0_d0_m0,all_tasks,S26003,rounded_square--demand_conflict,-28.547897964221406,0.32377593793044285,0.2518718260337163
n0_d0_m0,all_tasks,S26003,rounded_square--neutral,-6.191168037045336,0.3665566208062444,0.34518560025478695
n0_d0_m0,all_tasks,S26003,s_curve--demand_aligned,-16.793288331775997,0.33593833356444047,0.287634964613837
n0_d0_m0,all_tasks,S26003,s_curve--demand_conflict,-43.29701133755455,0.3225488090205147,0.2250910929752118
n0_d0_m0,all_tasks,S26003,s_curve--neutral,-35.88118210906681,0.34279623632707096,0.25227646021795797
n0_d0_m0,all_tasks,S26004,ellipse--demand_aligned,-44.91107283383126,0.2629181774940221,0.18143415292736734
n0_d0_m0,all_tasks,S26004,ellipse--demand_conflict,-45.74074587250012,0.29895714540413026,0.20512941910265098
n0_d0_m0,all_tasks,S26004,ellipse--neutral,-48.14372719035794,0.2643391902489657,0.17843427815833326
