job_id,plant_id,plant_seed,manifest_id,trajectory,regime,scenario_id,scenario_label,noise_seed,method,method_label,learning_rate,regularization,smoothness,measurement_noise_std_mm,extra_delay_steps,mismatch_scale,initial_task_score,final_task_score,task_auc_normalized,final_task_ratio,global_rmse_auc_normalized,final_global_ratio,worst_zone_auc_normalized,final_worst_zone_ratio_relative,cumulative_delta_theta_l2,cumulative_learned_delta_u_l2,cumulative_issued_delta_u_l2,final_command_correction_l2,final_command_correction_rms,rejected_trials,final_trust_radius_mm,all_updates_succeeded,all_update_constraints_satisfied,final_constraint_violation,finite_result,trial_task_scores,trial_global_rmse,trial_worst_zone,acceptance_history,selection_history,residual_lag_history,applied_lag_history,elapsed_s
ellipse--demand_aligned|delay_2|26001|parameter_matched_constrained_bf_noilc,S26001,26001,ellipse--demand_aligned,ellipse,demand_aligned,delay_2,Added delay +2 steps,320401,parameter_matched_constrained_bf_noilc,Parameter-matched constrained BF-NOILC,1.0,0.003,2e-08,0.0,2,1.0,14.01797185772008,0.11083195397188296,0.1840483437322356,0.007906418638645274,0.18365540682744902,0.019119484786560174,0.18497171921194033,0.007126408205378642,8.111539624335915,28.407863277932364,28.407863277932364,25.036299782879407,1.3952184392503728,0,4.0,1,1,0,1,"[14.01797185772008, 2.316320101999876, 0.6347868538466594, 0.3044291499013668, 0.11083195397188296]","[1.7256738268187821, 0.2523882284219263, 0.08968134208793971, 0.04631383370506643, 0.03299399447842678]","[18.303268838380088, 3.1147773012791276, 0.8100140136274252, 0.4007044002198589, 0.13043656523508307]","[true, true, true, true, true]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]",[],[],0.22441883399999796
ellipse--demand_aligned|delay_2|26001|proposed,S26001,26001,ellipse--demand_aligned,ellipse,demand_aligned,delay_2,Added delay +2 steps,320401,proposed,Proposed,0.65,0.003,2e-08,0.0,2,1.0,14.01797185772008,0.37623423235556275,0.28506448460122363,0.026839419865746148,0.28647688442016594,0.0314313826987312,0.2848113527792276,0.027088016219970854,6.790202332717202,24.60269505602407,24.60269505602407,24.442842428955554,1.3621463539069347,0,4.0,1,1,0,1,"[14.01797185772008, 5.610062522162069, 2.2601326664133468, 0.9168054574884895, 0.37623423235556275]","[1.7256738268187821, 0.6919267921211831, 0.27911094367391415, 0.11646783929342788, 0.05424031446392513]","[18.303268838380088, 7.300727637855446, 2.9479497943586757, 1.2037035595732268, 0.49579924317252694]","[true, true, true, true, true]","[[3, 4], [3, 4], [3, 4], [3, 4]]","[[6, 7], [6, 7], [6, 7], [6, 7], [6, 7]]","[[1.5, 1.75], [1.5, 1.75], [1.5, 1.75], [1.5, 1.75], [1.5, 1.75]]",0.22749675000000025
ellipse--demand_aligned|delay_2|26002|parameter_matched_constrained_bf_noilc,S26002,26002,ellipse--demand_aligned,ellipse,demand_aligned,delay_2,Added delay +2 steps,320402,parameter_matched_constrained_bf_noilc,Parameter-matched constrained BF-NOILC,1.0,0.003,2e-08,0.0,2,1.0,12.697722267835083,0.07396062710088334,0.17636564296534807,0.005824716082209079,0.17491310827755732,0.013737162335644551,0.17719988237777715,0.005477936405554047,7.001261676626384,24.81566547875183,24.81566547875183,22.368598706133618,1.246553270476949,0,4.0,1,1,0,1,"[12.697722267835083, 1.8815997022430504, 0.47304793854694416, 0.21727871959063033, 0.07396062710088334]","[1.5522341897492116, 0.20362524811635407, 0.06451762577915367, 0.031102812321046315, 0.021323293047522607]","[16.625428133754127, 2.5320577831777964, 0.6054923616506164, 0.2882949084042881, 0.09107303803181421]","[true, true, true, true, true]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]",[],[],0.2228497080000018
ellipse--demand_aligned|delay_2|26002|proposed,S26002,26002,ellipse--demand_aligned,ellipse,demand_aligned,delay_2,Added delay +2 steps,320402,proposed,Proposed,0.65,0.003,2e-08,0.0,2,1.0,12.697722267835083,0.3390690255052654,0.28339329065376107,0.026703137645731127,0.2841943256929704,0.029437800484380747,0.283391229503931,0.027046149543411214,6.03801730995713,21.94239095133232,21.94239095133232,21.826104703033447,1.216321261638898,0,4.0,1,1,0,1,"[12.697722267835083, 5.036470920972862, 2.019094401483617, 0.8198362200306357, 0.3390690255052654]","[1.5522341897492116, 0.6167905450090146, 0.2470060127929437, 0.10178376262540549, 0.045694360382871696]","[16.625428133754127, 6.580802703505955, 2.6458686979205455, 1.0817897033473691, 0.4496538155287501]","[true, true, true, true, true]","[[3, 4], [3, 4], [3, 4], [3, 4]]","[[5, 6], [5, 6], [5, 6], [5, 6], [5, 6]]","[[1.25, 1.5], [1.25, 1.5], [1.25, 1.5], [1.25, 1.5], [1.25, 1.5]]",0.21717066700000132
ellipse--demand_aligned|delay_2|26003|parameter_matched_constrained_bf_noilc,S26003,26003,ellipse--demand_aligned,ellipse,demand_aligned,delay_2,Added delay +2 steps,320403,parameter_matched_constrained_bf_noilc,Parameter-matched constrained BF-NOILC,1.0,0.003,2e-08,0.0,2,1.0,9.260468243411898,0.07541122406146891,0.18278942914227533,0.008143348919221026,0.20745110378371462,0.013930159812046724,0.17991248508911162,0.007666656174458868,6.538950060067667,22.324367650104605,22.324367650104605,17.831530736651956,0.9937123576403868,0,4.0,1,1,0,1,"[9.260468243411898, 1.3829839263408585, 0.5192985170862711, 0.20064063804990767, 0.07541122406146891]","[1.1954131505739598, 0.2725900440527802, 0.08476405436111777, 0.02857228844120662, 0.016652296228917535]","[12.3555400013703, 1.7284676113244242, 0.6709637633141687, 0.2670994112139432, 0.09472567704027915]","[true, true, true, true, true]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]",[],[],0.21565941700000124
ellipse--demand_aligned|delay_2|26003|proposed,S26003,26003,ellipse--demand_aligned,ellipse,demand_aligned,delay_2,Added delay +2 steps,320403,proposed,Proposed,0.65,0.003,2e-08,0.0,2,1.0,9.260468243411898,0.1906620024964678,0.25361559739896494,0.020588807983020617,0.28502065437786334,0.035072746641140295,0.24920727797210163,0.0191887323903243,5.20205294960609,17.996439816002923,17.996439816002923,17.478562223102927,0.9740421914077884,0,4.0,1,1,0,1,"[9.260468243411898, 3.2233024643966948, 1.0665462422162173, 0.3789829134211149, 0.1906620024964678]","[1.1954131505739598, 0.46012054882873976, 0.1930769772777205, 0.09100244103974918, 0.04192642256156779]","[12.3555400013703, 4.238019647860765, 1.3365778419716547, 0.44545090063794845, 0.23708715062424185]","[true, true, true, true, true]","[[3, 4], [3, 4], [3, 4], [1, 2]]","[[2, 5], [2, 5], [2, 5], [2, 5], [2, 5]]","[[0.5, 1.25], [0.5, 1.25], [0.5, 1.25], [0.5, 1.25], [0.5, 1.25]]",0.24556120799999803
ellipse--demand_aligned|delay_2|26004|parameter_matched_constrained_bf_noilc,S26004,26004,ellipse--demand_aligned,ellipse,demand_aligned,delay_2,Added delay +2 steps,320404,parameter_matched_constrained_bf_noilc,Parameter-matched constrained BF-NOILC,1.0,0.003,2e-08,0.0,2,1.0,12.428898490985443,0.13013158060597776,0.196836470461744,0.010470081536216657,0.20143142777097067,0.01954286780061979,0.1986669549469003,0.010436834487125988,8.320341667616773,29.18185120915342,29.18185120915342,23.73635592327352,1.3227754001974255,0,4.0,1,1,0,1,"[12.428898490985443, 2.3527587121136126, 0.7344160775971935, 0.41915221726496715, 0.13013158060597776]","[1.6606091523180864, 0.3087304467858715, 0.12514355551540826, 0.05759037905744502, 0.03245306513225166]","[15.753556669413461, 3.0834000565338098, 0.9109816075454903, 0.5654759018260728, 0.16441726354222802]","[true, true, true, true, true]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]",[],[],0.24049129199999797
ellipse--demand_aligned|delay_2|26004|proposed,S26004,26004,ellipse--demand_aligned,ellipse,demand_aligned,delay_2,Added delay +2 steps,320404,proposed,Proposed,0.65,0.003,2e-08,0.0,2,1.0,12.428898490985443,0.312693275412223,0.28295982420258786,0.025158566999241034,0.28133921694128444,0.029336992073077765,0.2837896916428943,0.026114363985456537,6.581744306854638,23.661111670054275,23.661111670054275,23.339378762856708,1.3006527279583935,0,4.0,1,1,0,1,"[12.428898490985443, 4.942956856013033, 1.969616962642525, 0.784146026309809, 0.312693275412223]","[1.6606091523180864, 0.6508107944626889, 0.2572525628620573, 0.10605134198199484, 0.048717277538036084]","[15.753556669413461, 6.261696773978836, 2.5190953411962242, 1.0195204516197465, 0.41139411293057954]","[true, true, true, true, true]","[[3, 4], [3, 4], [3, 4], [3, 4]]","[[5, 7], [5, 7], [5, 7], [5, 7], [5, 7]]","[[1.25, 1.75], [1.25, 1.75], [1.25, 1.75], [1.25, 1.75], [1.25, 1.75]]",0.23910079199999856
ellipse--demand_aligned|delay_2|26005|parameter_matched_constrained_bf_noilc,S26005,26005,ellipse--demand_aligned,ellipse,demand_aligned,delay_2,Added delay +2 steps,320405,parameter_matched_constrained_bf_noilc,Parameter-matched constrained BF-NOILC,1.0,0.003,2e-08,0.0,2,1.0,15.391659150462715,0.2538775185502901,0.2153162472906733,0.016494486791091514,0.2557929257083875,0.033607446690204594,0.20998155921355122,0.014611991380769494,12.35042818053405,42.25503460804779,42.25503460804779,29.733653361574085,1.6569917198673136,0,4.0,1,1,0,1,"[15.391659150462715, 3.3137618257022656, 1.283872780703068, 0.8358942105073006, 0.2538775185502901]","[2.001382851130764, 0.6173794861681619, 0.26903120761393, 0.12702549672782232, 0.06726136747606683]","[20.477644221980896, 4.132143048480799, 1.5544754556009226, 1.1246604555004733, 0.2992191608700491]","[true, true, true, true, true]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]",[],[],0.23253920800000216
ellipse--demand_aligned|delay_2|26005|proposed,S26005,26005,ellipse--demand_aligned,ellipse,demand_aligned,delay_2,Added delay +2 steps,320405,proposed,Proposed,0.65,0.003,2e-08,0.0,2,1.0,15.391659150462715,0.3518754703692913,0.2668889116778766,0.022861438583683356,0.29272684885302863,0.04387936708653836,0.2638445559158227,0.022551980217803434,8.708008084211592,30.389601736832212,30.389601736832212,29.107183759237017,1.6220799338449943,0,4.0,1,1,0,1,"[15.391659150462715, 5.846378697871536, 2.026546253670485, 0.6867603763772743, 0.3518754703692913]","[2.001382851130764, 0.7911726659107081, 0.34035873953583773, 0.16730144402533198, 0.08781941280546955]","[20.477644221980896, 7.746019827006064, 2.587406105335218, 0.8085060267706512, 0.46181142740132997]","[true, true, true, true, true]","[[3, 4], [3, 4], [3, 4], [2, 3]]","[[4, 8], [4, 8], [4, 8], [4, 8], [4, 8]]","[[1.0, 2.0], [1.0, 2.0], [1.0, 2.0], [1.0, 2.0], [1.0, 2.0]]",0.2723949579999996
