manifest_id,trajectory,regime,scenario_id,stress_factor,stress_level,measurement_noise_std_mm,extra_delay_steps,mismatch_scale,domain_seed,method,compensation_gain,initial_task_score,final_task_score,last_observed_task_score,task_auc_normalized,final_task_ratio,initial_violation_rate,final_violation_rate,initial_global_rmse,final_global_rmse,final_global_ratio,measured_score_auc_normalized,selection_switches,selection_history,accepted_history,rejected_trials,final_trust_radius_mm,constraint_violation,all_updates_succeeded,finite_result,raw_estimated_lag_history,total_estimated_lag_history,nominal_estimated_lag_history,applied_lag_history,median_estimated_lag_steps,median_estimated_axis_lag_steps,configured_mean_delay_steps,lag_absolute_error_steps,median_peak_correlation,elapsed_s
harmonic_loop--neutral,harmonic_loop,neutral,n0_d0_m0,factorial_combination,0.0,0.0,0,1.0,1601,full_trajectory,0.0,6.408170768996079,1.4654476961006448,1.4654476961006448,0.4583427638584663,0.22868424530612588,0.6666666666666666,0.5,0.9555968362517381,0.2771116650365554,0.28998805199429767,0.4583427638584663,0,"[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[true, true, true, true, true]",0,0.0,0,1,1,[],[],[],[],nan,[],nan,nan,nan,0.311687791
harmonic_loop--neutral,harmonic_loop,neutral,n0_d0_m0,factorial_combination,0.0,0.0,0,1.0,1601,error_peak_dynamic,0.0,6.408170768996079,1.32544910604547,1.32544910604547,0.40901001428991157,0.20683735715318935,0.6666666666666666,0.5,0.9555968362517381,0.2917622295659975,0.3053193758054019,0.40901001428991157,2,"[[2, 3], [2, 3], [3, 4], [1, 4]]","[true, true, true, true, true]",0,0.0,0,1,1,[],[],[],[],nan,[],nan,nan,nan,0.338389708
harmonic_loop--neutral,harmonic_loop,neutral,n0_d0_m0,factorial_combination,0.0,0.0,0,1.0,1601,dual_anchor_dynamic,0.0,6.408170768996079,1.32544910604547,1.32544910604547,0.40901001428991157,0.20683735715318935,0.6666666666666666,0.5,0.9555968362517381,0.2917622295659975,0.3053193758054019,0.40901001428991157,2,"[[2, 3], [2, 3], [3, 4], [1, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,[],[],[],[],nan,[],nan,nan,nan,0.2507318749999996
harmonic_loop--neutral,harmonic_loop,neutral,n0_d0_m0,factorial_combination,0.0,0.0,0,1.0,1601,fixed_delay_dual_anchor,1.0,6.408170768996079,1.4941485320936645,1.4941485320936645,0.5097472612599973,0.23316303293954535,0.6666666666666666,0.6666666666666666,0.9555968362517381,0.34792992219177193,0.3640969800156547,0.5097472612599973,2,"[[2, 3], [2, 3], [1, 3], [2, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[3, 4], [3, 4], [3, 4], [3, 4], [3, 4]]","[[5, 6], [5, 6], [5, 6], [5, 6], [5, 6]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[4.0, 4.0], [4.0, 4.0], [4.0, 4.0], [4.0, 4.0], [4.0, 4.0]]",3.5,"[3.0, 4.0]",4.0,0.5,0.9992922822848891,0.28343841599999964
harmonic_loop--neutral,harmonic_loop,neutral,n0_d0_m0,factorial_combination,0.0,0.0,0,1.0,1601,delay_aware_dual_anchor,0.25,6.408170768996079,1.2882444280577678,1.2882444280577678,0.39906064245977796,0.20103153840570756,0.6666666666666666,0.3333333333333333,0.9555968362517381,0.2885690203100686,0.301977789547693,0.39906064245977796,2,"[[2, 3], [2, 3], [3, 4], [2, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[3, 4], [3, 4], [3, 4], [3, 4], [3, 4]]","[[5, 6], [5, 6], [5, 6], [5, 6], [5, 6]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.75, 1.0], [0.75, 1.0], [0.75, 1.0], [0.75, 1.0], [0.75, 1.0]]",3.5,"[3.0, 4.0]",4.0,0.5,0.9993006419755235,0.2728750830000002
harmonic_loop--neutral,harmonic_loop,neutral,n0_d0_m0,factorial_combination,0.0,0.0,0,1.0,1627,full_trajectory,0.0,6.848371135995096,1.3032877160775937,1.3032877160775937,0.4318222634266987,0.19030623343812408,0.6666666666666666,0.5,0.9737649673401546,0.25700205099280626,0.26392616248539835,0.4318222634266987,0,"[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[true, true, true, true, true]",0,0.0,0,1,1,[],[],[],[],nan,[],nan,nan,nan,0.2713950409999999
harmonic_loop--neutral,harmonic_loop,neutral,n0_d0_m0,factorial_combination,0.0,0.0,0,1.0,1627,error_peak_dynamic,0.0,6.848371135995096,1.2446638881347536,1.2446638881347536,0.36980815157458036,0.1817459748337513,0.6666666666666666,0.3333333333333333,0.9737649673401546,0.294062471173038,0.3019850590602695,0.36980815157458036,3,"[[1, 3], [3, 4], [1, 3], [1, 4]]","[true, true, true, true, true]",0,0.0,0,1,1,[],[],[],[],nan,[],nan,nan,nan,0.23554066699999998
harmonic_loop--neutral,harmonic_loop,neutral,n0_d0_m0,factorial_combination,0.0,0.0,0,1.0,1627,dual_anchor_dynamic,0.0,6.848371135995096,1.2446638881347536,1.2446638881347536,0.36980815157458036,0.1817459748337513,0.6666666666666666,0.3333333333333333,0.9737649673401546,0.294062471173038,0.3019850590602695,0.36980815157458036,3,"[[1, 3], [3, 4], [1, 3], [1, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,[],[],[],[],nan,[],nan,nan,nan,0.3112002079999998
harmonic_loop--neutral,harmonic_loop,neutral,n0_d0_m0,factorial_combination,0.0,0.0,0,1.0,1627,fixed_delay_dual_anchor,1.0,6.848371135995096,1.4667535977381494,1.4667535977381494,0.4727232488936475,0.21417554168886674,0.6666666666666666,0.6666666666666666,0.9737649673401546,0.40457584819781606,0.41547587124942237,0.4727232488936475,2,"[[1, 3], [3, 4], [2, 3], [2, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[0, 3], [0, 3], [0, 3], [0, 3], [0, 3]]","[[2, 5], [2, 5], [2, 5], [2, 5], [2, 5]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[4.0, 4.0], [4.0, 4.0], [4.0, 4.0], [4.0, 4.0], [4.0, 4.0]]",1.5,"[0.0, 3.0]",2.0,0.5,0.9954730765762017,0.2766508329999997
harmonic_loop--neutral,harmonic_loop,neutral,n0_d0_m0,factorial_combination,0.0,0.0,0,1.0,1627,delay_aware_dual_anchor,0.25,6.848371135995096,1.2501026463125458,1.2501026463125458,0.35695062510870884,0.18254014297531215,0.6666666666666666,0.3333333333333333,0.9737649673401546,0.2889046556293405,0.2966882824081107,0.35695062510870884,3,"[[1, 3], [3, 4], [1, 3], [1, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[0, 3], [0, 3], [0, 3], [0, 3], [0, 3]]","[[2, 5], [2, 5], [2, 5], [2, 5], [2, 5]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.0, 0.75], [0.0, 0.75], [0.0, 0.75], [0.0, 0.75], [0.0, 0.75]]",1.5,"[0.0, 3.0]",2.0,0.5,0.9955086506887862,0.32449016600000036
