scenario_id,method,median_auc_degradation_percent,mean_auc_degradation_percent
baseline,full_trajectory,0.0,0.0
baseline,error_peak_dynamic,0.0,0.0
baseline,violation_safe,0.0,0.0
baseline,dual_anchor_dynamic,0.0,0.0
noise_0p02,full_trajectory,-0.0021275146296397167,0.026516348662772315
noise_0p02,error_peak_dynamic,0.012486972426308415,0.035551575463199
noise_0p02,violation_safe,-0.005788516375582861,-0.08100159977776032
noise_0p02,dual_anchor_dynamic,0.024343356690638664,0.05072928748162361
noise_0p05,full_trajectory,-0.07097241596143462,-0.04266488209436876
noise_0p05,error_peak_dynamic,-0.04874164210635791,0.14657624512793826
noise_0p05,violation_safe,0.006365037603882812,0.44187048219713415
noise_0p05,dual_anchor_dynamic,-0.015556793450410708,0.042999885425993395
delay_2,full_trajectory,20.10872569972107,23.132980630406777
delay_2,error_peak_dynamic,16.057516951656396,22.41049994556964
delay_2,violation_safe,16.390948896718324,22.97309963321339
delay_2,dual_anchor_dynamic,18.175730135898956,24.42994931510028
delay_4,full_trajectory,53.452122634476154,54.18470780271223
delay_4,error_peak_dynamic,53.29157020637041,54.58223876972434
delay_4,violation_safe,59.96562052654296,56.252481701843934
delay_4,dual_anchor_dynamic,63.5669609175155,61.36347261971981
mismatch_1p35,full_trajectory,0.738169502354201,1.0996273180140825
mismatch_1p35,error_peak_dynamic,0.629300184083102,0.7010520473193487
mismatch_1p35,violation_safe,0.41144982229103655,0.6648039726247797
mismatch_1p35,dual_anchor_dynamic,0.6037609684774501,0.5846900728456565
mismatch_1p70,full_trajectory,1.789982349126186,3.6366908424017432
mismatch_1p70,error_peak_dynamic,1.5977963189081055,2.1752011496704724
mismatch_1p70,violation_safe,1.1014253278620032,2.726594001993114
mismatch_1p70,dual_anchor_dynamic,2.510056284678585,3.175837936596446
