manifest_id,trajectory,regime,scenario_id,stress_factor,stress_level,measurement_noise_std_mm,extra_delay_steps,mismatch_scale,domain_seed,method,initial_task_score,final_task_score,last_observed_task_score,task_auc_normalized,final_task_ratio,initial_violation_rate,final_violation_rate,initial_global_rmse,final_global_rmse,final_global_ratio,measured_score_auc_normalized,selection_switches,selection_history,accepted_history,rejected_trials,final_trust_radius_mm,constraint_violation,all_updates_succeeded,finite_result,elapsed_s
harmonic_loop--neutral,harmonic_loop,neutral,baseline,baseline,0.0,0.0,0,1.0,1301,full_trajectory,3.3542245011270917,0.4910141532951734,0.4910141532951734,0.4011294692865424,0.14638678869890256,0.6666666666666666,0.0,0.5162139705579415,0.08768787384074458,0.1698673008519482,0.4011294692865424,0,"[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[true, true, true, true, true]",0,0.0,0,1,1,0.2754052920000001
harmonic_loop--neutral,harmonic_loop,neutral,baseline,baseline,0.0,0.0,0,1.0,1301,error_peak_dynamic,3.3542245011270917,0.35778740113337965,0.35778740113337965,0.3566203274631664,0.10666769651618589,0.6666666666666666,0.0,0.5162139705579415,0.11237131483074297,0.21768359873966267,0.3566203274631664,2,"[[2, 3], [2, 3], [1, 4], [3, 4]]","[true, true, true, true, true]",0,0.0,0,1,1,0.22095758300000012
harmonic_loop--neutral,harmonic_loop,neutral,baseline,baseline,0.0,0.0,0,1.0,1301,violation_safe,3.3542245011270917,0.3972641597908668,0.3972641597908668,0.35658026769970896,0.11843696200340123,0.6666666666666666,0.0,0.5162139705579415,0.11532104378007531,0.22339775821144947,0.35658026769970896,3,"[[2, 3], [3, 4], [1, 2], [3, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,0.22094408300000024
harmonic_loop--neutral,harmonic_loop,neutral,baseline,baseline,0.0,0.0,0,1.0,1301,dual_anchor_dynamic,3.3542245011270917,0.35778740113337965,0.35778740113337965,0.3566203274631664,0.10666769651618589,0.6666666666666666,0.0,0.5162139705579415,0.11237131483074297,0.21768359873966267,0.3566203274631664,2,"[[2, 3], [2, 3], [1, 4], [3, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,0.22208583299999995
harmonic_loop--neutral,harmonic_loop,neutral,baseline,baseline,0.0,0.0,0,1.0,1321,full_trajectory,8.000202141873121,1.9139677078864712,1.9139677078864712,0.45016791857215077,0.2392399184351542,0.8333333333333334,0.5,1.1676257675090513,0.38231893632586283,0.3274327673852908,0.45016791857215077,0,"[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[true, true, true, true, true]",0,0.0,0,1,1,0.28001133300000003
harmonic_loop--neutral,harmonic_loop,neutral,baseline,baseline,0.0,0.0,0,1.0,1321,error_peak_dynamic,8.000202141873121,1.7842809223687235,1.7842809223687235,0.3867393069737888,0.22302947984648827,0.8333333333333334,0.5,1.1676257675090513,0.4048682193692466,0.3467448480800233,0.3867393069737888,3,"[[1, 3], [3, 4], [1, 3], [1, 4]]","[true, true, true, true, true]",0,0.0,0,1,1,0.25884741600000005
harmonic_loop--neutral,harmonic_loop,neutral,baseline,baseline,0.0,0.0,0,1.0,1321,violation_safe,8.000202141873121,1.4792290365801257,1.4792290365801257,0.3819729916923293,0.18489895759481242,0.8333333333333334,0.5,1.1676257675090513,0.44446537662188956,0.3806573895419314,0.3819729916923293,3,"[[1, 3], [3, 4], [1, 3], [3, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,0.253593709
harmonic_loop--neutral,harmonic_loop,neutral,baseline,baseline,0.0,0.0,0,1.0,1321,dual_anchor_dynamic,8.000202141873121,1.7842809223687235,1.7842809223687235,0.3867393069737888,0.22302947984648827,0.8333333333333334,0.5,1.1676257675090513,0.4048682193692466,0.3467448480800233,0.3867393069737888,3,"[[1, 3], [3, 4], [1, 3], [1, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,0.2706254170000002
harmonic_loop--neutral,harmonic_loop,neutral,baseline,baseline,0.0,0.0,0,1.0,1361,full_trajectory,7.231543865837976,1.415688324870234,1.415688324870234,0.4277991389313866,0.19576571077138688,0.8333333333333334,0.5,1.0474767416866995,0.2816177627217805,0.2688534757042008,0.4277991389313866,0,"[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[true, true, true, true, true]",0,0.0,0,1,1,0.2820546249999998
harmonic_loop--neutral,harmonic_loop,neutral,baseline,baseline,0.0,0.0,0,1.0,1361,error_peak_dynamic,7.231543865837976,1.2925808912926002,1.2925808912926002,0.3646210545919703,0.17874203839083244,0.8333333333333334,0.3333333333333333,1.0474767416866995,0.3148203612786747,0.3005511709708563,0.3646210545919703,3,"[[1, 3], [3, 4], [1, 3], [1, 4]]","[true, true, true, true, true]",0,0.0,0,1,1,0.2400552920000001
