scenario_id,stress_factor,stress_level,scope,method,runs,median_task_auc,median_final_task_ratio,median_final_global_ratio,success_rate
baseline,baseline,0.0,all,full_trajectory,60,0.3947071754889939,0.15257520694438115,0.17152257469515914,1.0
baseline,baseline,0.0,all,error_peak_dynamic,60,0.3653054680751585,0.13541418405931727,0.28775228522185625,1.0
baseline,baseline,0.0,all,violation_safe,60,0.3648675821962059,0.13461822276033836,0.2887347796952464,1.0
baseline,baseline,0.0,all,dual_anchor_dynamic,60,0.3585189662268533,0.1189920929365981,0.253875942786409,1.0
baseline,baseline,0.0,demand_conflict,full_trajectory,20,0.3739412509830259,0.11948853805365078,0.17152257469515914,1.0
baseline,baseline,0.0,demand_conflict,error_peak_dynamic,20,0.3669701010926118,0.1152297654589354,0.292142662412609,1.0
baseline,baseline,0.0,demand_conflict,violation_safe,20,0.37094738036836483,0.1282885834830375,0.26209418664622514,1.0
baseline,baseline,0.0,demand_conflict,dual_anchor_dynamic,20,0.3617353287252999,0.1119444165049087,0.2551393325622804,1.0
noise_0p02,measurement_noise,0.02,all,full_trajectory,60,0.395014804718697,0.15320081559495802,0.17189709751607,1.0
noise_0p02,measurement_noise,0.02,all,error_peak_dynamic,60,0.3699738575427735,0.1369799950163693,0.2873309469842413,1.0
noise_0p02,measurement_noise,0.02,all,violation_safe,60,0.36366233092673894,0.13670978877240603,0.28413751045551705,1.0
noise_0p02,measurement_noise,0.02,all,dual_anchor_dynamic,60,0.3590487057146835,0.12178844648350737,0.25305714259397794,1.0
noise_0p02,measurement_noise,0.02,demand_conflict,full_trajectory,20,0.37418033276760415,0.12038543051288894,0.1716832625248394,1.0
noise_0p02,measurement_noise,0.02,demand_conflict,error_peak_dynamic,20,0.3665075410450443,0.11613680662506784,0.2917815778566657,1.0
noise_0p02,measurement_noise,0.02,demand_conflict,violation_safe,20,0.37000357307600656,0.13029210925038198,0.26120575037173116,1.0
noise_0p02,measurement_noise,0.02,demand_conflict,dual_anchor_dynamic,20,0.3612214706184925,0.11260820494941703,0.25540518329906126,1.0
noise_0p05,measurement_noise,0.05,all,full_trajectory,60,0.3940259279864608,0.15594252036367362,0.170689610867346,1.0
noise_0p05,measurement_noise,0.05,all,error_peak_dynamic,60,0.36788302580416143,0.1410511435313595,0.2802723124271116,1.0
noise_0p05,measurement_noise,0.05,all,violation_safe,60,0.36423841074771,0.14220845987684105,0.2851279024266254,1.0
noise_0p05,measurement_noise,0.05,all,dual_anchor_dynamic,60,0.3571736858425353,0.13003493428945398,0.24259716811451387,1.0
noise_0p05,measurement_noise,0.05,demand_conflict,full_trajectory,20,0.37278310079643395,0.12089607108041525,0.1719003922962812,1.0
noise_0p05,measurement_noise,0.05,demand_conflict,error_peak_dynamic,20,0.3657770476867599,0.11694050861202604,0.2768176326837307,1.0
noise_0p05,measurement_noise,0.05,demand_conflict,violation_safe,20,0.3715702407535575,0.1522959842292759,0.28948322982508135,1.0
noise_0p05,measurement_noise,0.05,demand_conflict,dual_anchor_dynamic,20,0.36085134162021393,0.10836680803357693,0.24259716811451387,1.0
delay_2,added_delay,2.0,all,full_trajectory,60,0.4981572539041619,0.31859682143386825,0.3292494628406669,1.0
delay_2,added_delay,2.0,all,error_peak_dynamic,60,0.46631546461909734,0.2783639943628661,0.4388710107904704,1.0
delay_2,added_delay,2.0,all,violation_safe,60,0.47134822390231235,0.2915102491555915,0.460084387720871,1.0
delay_2,added_delay,2.0,all,dual_anchor_dynamic,60,0.46851367118991405,0.25131996148614155,0.3867657400950589,1.0
delay_2,added_delay,2.0,demand_conflict,full_trajectory,20,0.5107136150607126,0.33006033829101833,0.3292494628406669,1.0
delay_2,added_delay,2.0,demand_conflict,error_peak_dynamic,20,0.5107861618493946,0.31924665872147345,0.41133483766907003,1.0
delay_2,added_delay,2.0,demand_conflict,violation_safe,20,0.5011915635658365,0.3019730320398676,0.4500721384505497,1.0
delay_2,added_delay,2.0,demand_conflict,dual_anchor_dynamic,20,0.5031921587033513,0.25131996148614155,0.3939614924233115,1.0
delay_4,added_delay,4.0,all,full_trajectory,60,0.6525625347310228,0.5682616790651979,0.553963676787694,1.0
delay_4,added_delay,4.0,all,error_peak_dynamic,60,0.620846667861324,0.4973993639580147,0.6572694837267825,1.0
delay_4,added_delay,4.0,all,violation_safe,60,0.6171320961832487,0.48344825043570827,0.6837546781130767,1.0
delay_4,added_delay,4.0,all,dual_anchor_dynamic,60,0.6404068331483157,0.5188037516097466,0.6481481711574193,1.0
delay_4,added_delay,4.0,demand_conflict,full_trajectory,20,0.6698875341803128,0.5833405091739958,0.553963676787694,1.0
delay_4,added_delay,4.0,demand_conflict,error_peak_dynamic,20,0.6701501686865132,0.5357709961810861,0.6251821582813528,1.0
delay_4,added_delay,4.0,demand_conflict,violation_safe,20,0.6453494892582367,0.5378089782133599,0.6914331328142289,1.0
delay_4,added_delay,4.0,demand_conflict,dual_anchor_dynamic,20,0.6546426031013517,0.5325826047186841,0.646480720971979,1.0
mismatch_1p35,dynamic_mismatch,1.35,all,full_trajectory,60,0.4019832951727946,0.1640397497360525,0.1762161963965045,1.0
mismatch_1p35,dynamic_mismatch,1.35,all,error_peak_dynamic,60,0.3785204294559451,0.13923587730584297,0.2877162863169309,1.0
mismatch_1p35,dynamic_mismatch,1.35,all,violation_safe,60,0.3756239720762075,0.14186332337365282,0.2789780439197087,1.0
mismatch_1p35,dynamic_mismatch,1.35,all,dual_anchor_dynamic,60,0.3676231841953512,0.12855222500739938,0.2528294422713665,1.0
mismatch_1p35,dynamic_mismatch,1.35,demand_conflict,full_trajectory,20,0.3702697051813165,0.1358123837085809,0.1762161963965045,1.0
mismatch_1p35,dynamic_mismatch,1.35,demand_conflict,error_peak_dynamic,20,0.3785204294559451,0.10869783354757688,0.29676228654568326,1.0
mismatch_1p35,dynamic_mismatch,1.35,demand_conflict,violation_safe,20,0.38398493210518525,0.13618767837121312,0.27122577449451335,1.0
mismatch_1p35,dynamic_mismatch,1.35,demand_conflict,dual_anchor_dynamic,20,0.37945643985559147,0.11697809314779938,0.25102922183358695,1.0
mismatch_1p70,dynamic_mismatch,1.7,all,full_trajectory,60,0.41588945538067806,0.2068966575637196,0.18920871462683536,1.0
mismatch_1p70,dynamic_mismatch,1.7,all,error_peak_dynamic,60,0.38648382951825133,0.16919818660456293,0.2922279384574192,1.0
mismatch_1p70,dynamic_mismatch,1.7,all,violation_safe,60,0.38625652328014826,0.15868396059449272,0.300107360669157,1.0
mismatch_1p70,dynamic_mismatch,1.7,all,dual_anchor_dynamic,60,0.3859883665046694,0.16694627821876595,0.2756706173929465,1.0
